hgnc_symbol	description	keep_in_list (CORRECTED DATA)	keep_in_list (INCORRECT DATA. IGNORE THIS COLUMN)	comments	ensembl_gene_ids	uniprot_gn_ids	Protein.families	consensus_score
ERBB2	erb-b2 receptor tyrosine kinase 2	Yes	No		ENSG00000141736	P04626	"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily"	17
F2R	coagulation factor II thrombin receptor	Yes	No		ENSG00000181104	P25116	G-protein coupled receptor 1 family	17
FPR1	formyl peptide receptor 1	Yes	No		ENSG00000171051	P21462	G-protein coupled receptor 1 family	17
GALR3	galanin receptor 3	Yes	TBD		ENSG00000128310	O60755	G-protein coupled receptor 1 family	17
GLP1R	glucagon like peptide 1 receptor	Yes	No		ENSG00000112164	P43220	G-protein coupled receptor 2 family	17
GNRHR	gonadotropin releasing hormone receptor	Yes	No		ENSG00000109163	P30968	G-protein coupled receptor 1 family	17
GPR75	G protein-coupled receptor 75	Yes	Yes		ENSG00000119737	O95800	G-protein coupled receptor 1 family	17
GRPR	gastrin releasing peptide receptor	Yes	No		ENSG00000126010	P30550	G-protein coupled receptor 1 family	17
IL10RB	interleukin 10 receptor subunit beta	Yes	No		ENSG00000243646	Q08334	Type II cytokine receptor family	17
IL20RB	interleukin 20 receptor subunit beta	Yes	No		ENSG00000174564	Q6UXL0	Type II cytokine receptor family	17
IL27RA	interleukin 27 receptor subunit alpha	Yes	No		"ENSG00000288185, ENSG00000104998"	Q6UWB1	"Type I cytokine receptor family, Type 2 subfamily"	17
IL2RB	interleukin 2 receptor subunit beta	Yes	No		ENSG00000100385	P14784	"Type I cytokine receptor family, Type 4 subfamily"	17
IL31RA	interleukin 31 receptor A	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000164509	Q8NI17	"Type I cytokine receptor family, Type 2 subfamily"	17
MC1R	melanocortin 1 receptor	Yes	No		ENSG00000258839	Q01726	G-protein coupled receptor 1 family	17
MC2R	melanocortin 2 receptor	Yes	No		ENSG00000185231	Q01718	G-protein coupled receptor 1 family	17
MC3R	melanocortin 3 receptor	Yes	Yes		ENSG00000124089	P41968	G-protein coupled receptor 1 family	17
NMBR	neuromedin B receptor	Yes	TBD		ENSG00000135577	P28336	G-protein coupled receptor 1 family	17
NMUR1	neuromedin U receptor 1	Yes	TBD		ENSG00000171596	Q9HB89	G-protein coupled receptor 1 family	17
NMUR2	neuromedin U receptor 2	Yes	No		ENSG00000132911	Q9GZQ4	G-protein coupled receptor 1 family	17
NPY2R	neuropeptide Y receptor Y2	Yes	No		ENSG00000185149	P49146	G-protein coupled receptor 1 family	17
NTSR2	neurotensin receptor 2	Yes	Yes		ENSG00000169006	O95665	"G-protein coupled receptor 1 family, Neurotensin receptor subfamily, NTSR2 sub-subfamily"	17
OPRK1	opioid receptor kappa 1	Yes	Yes		ENSG00000082556	P41145	G-protein coupled receptor 1 family	17
OPRL1	opioid related nociceptin receptor 1	Yes	"No, Yes"		"ENSG00000277044, ENSG00000125510"	P41146	G-protein coupled receptor 1 family	17
OPRM1	opioid receptor mu 1	Yes	No		ENSG00000112038	P35372	G-protein coupled receptor 1 family	17
PLXNB3	plexin B3	Yes	Yes		ENSG00000198753	Q9ULL4	Plexin family	17
PLXND1	plexin D1	Yes	TBD		ENSG00000004399	Q9Y4D7	Plexin family	17
PRLHR	prolactin releasing hormone receptor	Yes	No		ENSG00000119973	P49683	G-protein coupled receptor 1 family	17
PTCH1	patched 1	Yes	Yes		ENSG00000185920	Q13635	Patched family	17
PTH2R	parathyroid hormone 2 receptor	Yes	Yes		ENSG00000144407	P49190	G-protein coupled receptor 2 family	17
RET	ret proto-oncogene	Yes	No		ENSG00000165731	P07949	"Protein kinase superfamily, Tyr protein kinase family"	17
RXFP1	relaxin family peptide receptor 1	Yes	TBD		ENSG00000171509	Q9HBX9	G-protein coupled receptor 1 family	17
SSTR5	somatostatin receptor 5	Yes	No		ENSG00000162009	P35346	G-protein coupled receptor 1 family	17
TACR1	tachykinin receptor 1	Yes	TBD		ENSG00000115353	P25103	G-protein coupled receptor 1 family	17
TNFRSF10B	TNF receptor superfamily member 10b	Yes			ENSG00000120889	O14763	NA	17
TNFRSF12A	TNF receptor superfamily member 12A	Yes	Yes		ENSG00000006327	Q9NP84	NA	17
TRHR	thyrotropin releasing hormone receptor	Yes	Yes		ENSG00000174417	P34981	G-protein coupled receptor 1 family	17
UTS2R	urotensin 2 receptor	Yes	No		ENSG00000181408	Q9UKP6	G-protein coupled receptor 1 family	17
VIPR1	vasoactive intestinal peptide receptor 1	Yes	Yes		ENSG00000114812	P32241	G-protein coupled receptor 2 family	17
LGR5	leucine rich repeat containing G protein-coupled receptor 5	Yes	TBD		ENSG00000139292	O75473	G-protein coupled receptor 1 family	17
LGR6	leucine rich repeat containing G protein-coupled receptor 6	Yes	TBD		ENSG00000133067	Q9HBX8	G-protein coupled receptor 1 family	17
MAS1	"MAS1 proto-oncogene, G protein-coupled receptor"	Yes	TBD		ENSG00000130368	P04201	G-protein coupled receptor 1 family	17
AGTR1	angiotensin II receptor type 1	Yes	No		ENSG00000144891	P30556	G-protein coupled receptor 1 family	16
AGTR2	angiotensin II receptor type 2	Yes	Yes		ENSG00000180772	P50052	G-protein coupled receptor 1 family	16
ALK	ALK receptor tyrosine kinase	Yes	No		ENSG00000171094	Q9UM73	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	16
C5AR2	complement C5a receptor 2	Yes	TBD		ENSG00000134830	Q9P296	G-protein coupled receptor 1 family	16
CMKLR2	chemerin chemokine-like receptor 2	Yes	No		"ENSG00000283448, ENSG00000183671"	P46091	Chemokine-like receptor (CMKLR) family	16
CSF2RB	colony stimulating factor 2 receptor subunit beta	Yes	No		ENSG00000100368	P32927	"Type I cytokine receptor family, Type 4 subfamily"	16
EPHA6	EPH receptor A6	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000080224	Q9UF33	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	16
EPHB6	EPH receptor B6	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000106123	O15197	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	16
F2RL2	coagulation factor II thrombin receptor like 2	Yes	Yes		ENSG00000164220	O00254	G-protein coupled receptor 1 family	16
F2RL3	F2R like thrombin or trypsin receptor 3	Yes	No		ENSG00000127533	Q96RI0	G-protein coupled receptor 1 family	16
GCGR	glucagon receptor	Yes	No		"ENSG00000288269, ENSG00000215644"	P47871	G-protein coupled receptor 2 family	16
GFRA1	GDNF family receptor alpha 1	Yes	No		ENSG00000151892	P56159	GDNFR family	16
GPR151	G protein-coupled receptor 151	Yes	Yes		ENSG00000173250	Q8TDV0	G-protein coupled receptor 1 family	16
IFNGR2	interferon gamma receptor 2	Yes	"Yes, No"		"ENSG00000262795, ENSG00000159128"	P38484	Type II cytokine receptor family	16
IGF2R	insulin like growth factor 2 receptor	Yes	TBD		ENSG00000197081	P11717	MRL1/IGF2R family	16
IL1RAP	interleukin 1 receptor accessory protein	Yes	No		ENSG00000196083	Q9NPH3	Interleukin-1 receptor family	16
IL1RAPL1	interleukin 1 receptor accessory protein like 1	Yes	TBD		ENSG00000169306	Q9NZN1	Interleukin-1 receptor family	16
IL1RL2	interleukin 1 receptor like 2	Yes	No		ENSG00000115598	Q9HB29	Interleukin-1 receptor family	16
NPSR1	neuropeptide S receptor 1	Yes	No		ENSG00000187258	Q6W5P4	"G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"	16
NPY5R	neuropeptide Y receptor Y5	Yes	No		ENSG00000164129	Q15761	G-protein coupled receptor 1 family	16
OPRD1	opioid receptor delta 1	Yes	Yes		ENSG00000116329	P41143	G-protein coupled receptor 1 family	16
PLXNA1	plexin A1	Yes	Yes		ENSG00000114554	Q9UIW2	Plexin family	16
PLXNA3	plexin A3	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000130827	P51805	Plexin family	16
PLXNA4	plexin A4	Yes	No		ENSG00000221866	Q9HCM2	Plexin family	16
PLXNB1	plexin B1	Yes			ENSG00000164050	O43157	Plexin family	16
PLXNC1	plexin C1	Yes	Yes		ENSG00000136040	O60486	Plexin family	16
RYK	receptor like tyrosine kinase	Yes			ENSG00000163785	P34925	"Protein kinase superfamily, Tyr protein kinase family"	16
SMO	"smoothened, frizzled class receptor"	Yes	No		ENSG00000128602	Q99835	G-protein coupled receptor Fz/Smo family	16
TACR2	tachykinin receptor 2	Yes	No		ENSG00000075073	P21452	G-protein coupled receptor 1 family	16
TACR3	tachykinin receptor 3	Yes	No		ENSG00000169836	P29371	G-protein coupled receptor 1 family	16
TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	Yes	Yes		ENSG00000066056	P35590	"Protein kinase superfamily, Tyr protein kinase family, Tie subfamily"	16
TNFRSF10D	TNF receptor superfamily member 10d	Yes	No	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000173530	Q9UBN6	NA	16
TNFRSF25	TNF receptor superfamily member 25	Yes	No		ENSG00000215788	Q93038	NA	16
MRGPRX2	MAS related GPR family member X2	Yes	Yes		ENSG00000183695	Q96LB1	"G-protein coupled receptor 1 family, Mas subfamily"	16
DDR2	discoidin domain receptor tyrosine kinase 2	Yes	Yes		ENSG00000162733	Q16832	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	15
F2RL1	F2R like trypsin receptor 1	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000164251	P55085	G-protein coupled receptor 1 family	15
GFRA2	GDNF family receptor alpha 2	Yes	TBD		ENSG00000168546	O00451	GDNFR family	15
IL22RA2	interleukin 22 receptor subunit alpha 2	Yes	TBD		ENSG00000164485	Q969J5	Type II cytokine receptor family	15
MCHR2	melanin concentrating hormone receptor 2	Yes	TBD		ENSG00000152034	Q969V1	G-protein coupled receptor 1 family	15
MLNR	motilin receptor	Yes	TBD		ENSG00000102539	O43193	G-protein coupled receptor 1 family	15
NPBWR1	neuropeptides B and W receptor 1	Yes	TBD		ENSG00000288611	P48145	G-protein coupled receptor 1 family	15
NPFFR1	neuropeptide FF receptor 1	Yes	No		ENSG00000148734	Q9GZQ6	G-protein coupled receptor 1 family	15
NPFFR2	neuropeptide FF receptor 2	Yes	TBD	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000056291	Q9Y5X5	G-protein coupled receptor 1 family	15
NPY4R	neuropeptide Y receptor Y4	Yes	TBD		ENSG00000204174	P50391	G-protein coupled receptor 1 family	15
ROBO1	roundabout guidance receptor 1	Yes			ENSG00000169855	Q9Y6N7	"Immunoglobulin superfamily, ROBO family"	15
ROBO2	roundabout guidance receptor 2	Yes	No		ENSG00000185008	Q9HCK4	"Immunoglobulin superfamily, ROBO family"	15
TGFBR3	transforming growth factor beta receptor 3	Yes	Yes		ENSG00000069702	Q03167	NA	15
TNFRSF10C	TNF receptor superfamily member 10c	Yes	Yes		ENSG00000173535	O14798	NA	15
MRGPRX1	MAS related GPR family member X1	Yes	No		ENSG00000170255	Q96LB2	"G-protein coupled receptor 1 family, Mas subfamily"	15
TNFRSF21	TNF receptor superfamily member 21	Yes			ENSG00000146072	O75509	NA	15
NRP1	neuropilin 1	Yes			ENSG00000099250	O14786	Neuropilin family	15
NRP2	neuropilin 2	Yes	No		ENSG00000118257	O60462	Neuropilin family	15
PLAUR	"plasminogen activator, urokinase receptor"	Yes	Yes		ENSG00000011422	Q03405	NA	15
DCC	DCC netrin 1 receptor	Yes	Yes		ENSG00000187323	P43146	"Immunoglobulin superfamily, DCC family"	14
FPR3	formyl peptide receptor 3	Yes	TBD		ENSG00000187474	P25089	G-protein coupled receptor 1 family	14
GFRA4	GDNF family receptor alpha 4	Yes	TBD		ENSG00000125861	Q9GZZ7	GDNFR family	14
GPR39	G protein-coupled receptor 39	Yes	No		ENSG00000183840	O43194	G-protein coupled receptor 1 family	14
MTNR1B	melatonin receptor 1B	Yes	No		ENSG00000134640	P49286	G-protein coupled receptor 1 family	14
PLXNA2	plexin A2	Yes	TBD		ENSG00000076356	O75051	Plexin family	14
PTCH2	patched 2	Yes	No		ENSG00000117425	Q9Y6C5	Patched family	14
TNFRSF11B	TNF receptor superfamily member 11b	Yes			ENSG00000164761	O00300	NA	14
UNC5C	unc-5 netrin receptor C	Yes	No		ENSG00000182168	O95185	Unc-5 family	14
BRS3	bombesin receptor subtype 3	Yes	No		ENSG00000102239	P32247	G-protein coupled receptor 1 family	13
GFRA3	GDNF family receptor alpha 3	Yes	No		ENSG00000146013	O60609	GDNFR family	13
GPR182	G protein-coupled receptor 182	Yes	Yes		ENSG00000166856	O15218	G-protein coupled receptor 1 family	13
MTNR1A	melatonin receptor 1A	Yes	No		ENSG00000168412	P48039	G-protein coupled receptor 1 family	13
NPBWR2	neuropeptides B and W receptor 2	Yes	No		"ENSG00000277339, ENSG00000125522"	P48146	G-protein coupled receptor 1 family	13
TNFRSF19	TNF receptor superfamily member 19	Yes	Yes		ENSG00000127863	Q9NS68	NA	13
UNC5A	unc-5 netrin receptor A	Yes	No		ENSG00000113763	Q6ZN44	Unc-5 family	13
UNC5D	unc-5 netrin receptor D	Yes	No		ENSG00000156687	Q6UXZ4	Unc-5 family	13
CRLF1	cytokine receptor like factor 1	Yes	Yes		ENSG00000006016	O75462	"Type I cytokine receptor family, Type 3 subfamily"	12
FGFRL1	fibroblast growth factor receptor like 1	Yes	Yes		ENSG00000127418	Q8N441	NA	12
ROBO4	roundabout guidance receptor 4	Yes	Yes		ENSG00000154133	Q8WZ75	"Immunoglobulin superfamily, ROBO family"	12
UNC5B	unc-5 netrin receptor B	Yes	Yes		ENSG00000107731	Q8IZJ1	Unc-5 family	12
TFRC	transferrin receptor	Yes	Yes		ENSG00000072274	P02786	"Peptidase M28 family, M28B subfamily"	12
GPR135	G protein-coupled receptor 135	Yes	No		ENSG00000181619	Q8IZ08	G-protein coupled receptor 1 family	11
IGFLR1	IGF like family receptor 1	Yes	No		ENSG00000126246	Q9H665	NA	11
OGFR	opioid growth factor receptor	Yes	Yes		ENSG00000060491	Q9NZT2	Opioid growth factor receptor family	11
ROBO3	roundabout guidance receptor 3	Yes	No		ENSG00000154134	Q96MS0	"Immunoglobulin superfamily, ROBO family"	10
TNFRSF6B	TNF receptor superfamily member 6b	Yes	Yes		ENSG00000243509	O95407	NA	10
TFR2	transferrin receptor 2	Yes	No		ENSG00000106327	Q9UP52	"Peptidase M28 family, M28B subfamily"	10
TSPAN1	tetraspanin 1	Yes	No		ENSG00000117472	O60635	Tetraspanin (TM4SF) family	10
BAMBI	BMP and activin membrane bound inhibitor	Yes	Yes		ENSG00000095739	Q13145	BAMBI family	9
IL17RE	interleukin 17 receptor E	Yes			ENSG00000163701	Q8NFR9	NA	9
KLB	klotho beta	Yes	No		ENSG00000134962	Q86Z14	"Glycosyl hydrolase 1 family, Klotho subfamily"	9
GPR162	G protein-coupled receptor 162	Yes	No		ENSG00000250510	Q16538	G-protein coupled receptor 1 family	7
