uniprot	genesymbol	consensus_score	generic_categories	all_categories	ligand_uniprot	ligand_symbol	ligand_references
Q969P6	TOP1MT	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
Q9H252	KCNH6	1	receptor, transporter	ion_channel, peripheral, receptor, transmembrane, transporter	NA	NA	NA
Q8NGJ1	OR4D6	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q96AG3	SLC25A46	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
P56696	KCNQ4	1	receptor, transporter	intracellular, ion_channel, peripheral, plasma_membrane, receptor, transmembrane, transporter	O00141, P15382, P22612	KCNE1, PRKACG, SGK1	SGK1 [SPIKE:16301825], KCNE1 [SPIKE:16301825], PRKACG [SPIKE:15660259]
P55064	AQP5	2	receptor, transporter	cell_surface, extracellular, intracellular, ion_channel, peripheral, plasma_membrane, receptor, transmembrane, transporter	P12273, P17612	PIP, PRKACA	PIP [CellTalkDB:18696337], PRKACA [PhosphoSite:18478076;PhosphoSite:26569106;PhosphoSite:29384694]
Q96FL8	SLC47A1	1	receptor	cell_surface, extracellular, intracellular, plasma_membrane, receptor, transmembrane	P08047	SP1	SP1 [SPIKE:17855482]
O95865	DDAH2	1	receptor	intracellular, receptor	NA	NA	NA
Q9UHD2	TBK1	1	receptor	intracellular, receptor	O14920, O15111, O95786, P01375, P19784, P21580, P36406, Q13114, Q14164, Q14653, Q7Z434, Q86WV6, Q8IUC6, Q92630, Q92844, Q96C10, Q96CV9, Q96KP1, Q9BYX4, Q9H171, Q9Y2E6	CHUK, CSNK2A2, DDX58, DHX58, DTX4, DYRK2, EXOC2, IFIH1, IKBKB, IKBKE, IRF3, MAVS, OPTN, STING1, TANK, TICAM1, TNF, TNFAIP3, TRAF3, TRIM23, ZBP1	TICAM1 [HPRD:14530355;InnateDB:14530355;InnateDB:14739303;InnateDB:16281057;InnateDB:19416887;InnateDB:19656901;InnateDB:20200155;InnateDB:20418377;InnateDB:21903422;IntAct:19416887;Macrophage:14530355;Macrophage:14739303;ProtMapper:29018427;SIGNOR:14530355;SPIKE:16410796], MAVS [BioGRID:21813773;BioGRID:29743353;HPRD:16153868;InnateDB:16153868;InnateDB:21813773;InnateDB:21903422;IntAct:24643253;IntAct:33372174;Macrophage:12702806;Macrophage:15210742;Macrophage:15210743;Macrophage:16127453;Macrophage:16177806;Macrophage:16306936;Macrophage:16858409;Macrophage:17020950;Macrophage:17327220;Macrophage:17468758;ProtMapper:27419230;SIGNOR:25636800;SPIKE:16753195], IRF3 [HPRD:12692549;HPRD:15695821;InnateDB:12692549;InnateDB:12702806;InnateDB:14679297;InnateDB:15367631;InnateDB:15695821;InnateDB:15749911;InnateDB:15841462;InnateDB:16155125;InnateDB:16281057;InnateDB:16394098;InnateDB:17018283;InnateDB:18818105;InnateDB:21903422;InnateDB:24807708;IntAct:15841462;IntAct:17599067;IntAct:18583960;IntAct:19153231;IntAct:25803835;Lit-BM-17:16394098;Lit-BM-17:17599067;Lit-BM-17:18583960;Lit-BM-17:18636086;Lit-BM-17:19656901;Lit-BM-17:20628368;Lit-BM-17:21903422;Lit-BM-17:22072751;Lit-BM-17:22079989;Lit-BM-17:22388039;Lit-BM-17:23028469;Lit-BM-17:25636800;Lit-BM-17:25803835], TNFAIP3 [InnateDB:15661910;SPIKE:18353649], DDX58 [InnateDB:16281057;InnateDB:21419663;InnateDB:23950712;Macrophage:12702806;Macrophage:15210742;Macrophage:15210743;Macrophage:16127453;Macrophage:16177806;Macrophage:16306936;Macrophage:16858409;Macrophage:17020950;Macrophage:17327220;Macrophage:17468758], IFIH1 [Macrophage:12702806;Macrophage:15210742;Macrophage:15210743;Macrophage:16127453;Macrophage:16177806;Macrophage:16306936;Macrophage:16858409;Macrophage:17020950], DHX58 [Macrophage:17020950], IKBKE [IntAct:17599067;Macrophage:12702806;Macrophage:15210742;Macrophage:15210743;Macrophage:16127453;Macrophage:16177806;Macrophage:16306936;Macrophage:16858409;Macrophage:17327220;Macrophage:17468758;SIGNOR:24622840], TRAF3 [BioGRID:22330071;BioGRID:23717208;HPRD:17991829;InnateDB:16306936;InnateDB:20174559;InnateDB:20389019;InnateDB:22792062;InnateDB:23986588;IntAct:27135603;IntAct:34084167;Macrophage:12702806;Macrophage:15210742;Macrophage:15210743;Macrophage:16127453;Macrophage:16177806;Macrophage:16306936;Macrophage:16858409;Macrophage:17327220;Macrophage:17468758;SIGNOR:24622840], TANK [CancerCellMap:10581243;CancerCellMap:14743216;HPRD:10581243;InnateDB:17327220;InnateDB:17468758;InnateDB:18307994;InnateDB:19820708;InnateDB:21419663;InnateDB:21903422;IntAct:14743216;IntAct:17568778;IntAct:18307994;IntAct:21931555;IntAct:21988832;Lit-BM-17:10581243;Lit-BM-17:14743216;Lit-BM-17:17568778;Lit-BM-17:17823124;Lit-BM-17:18307994;Lit-BM-17:21903422;Lit-BM-17:21988832;Lit-BM-17:23007157;Lit-BM-17:23286385;Lit-BM-17:24488098;Lit-BM-17:25409927;Lit-BM-17:27035970;Macrophage:15210742;Macrophage:16127453;NetPath:10581243], ZBP1 [Macrophage:17618271], STING1 [BioGRID:29899553;InnateDB:18724357;InnateDB:18818105;InnateDB:19416887;InnateDB:21074459;InnateDB:21903422;InnateDB:22394562;InnateDB:26199418;IntAct:18724357;IntAct:19416887;IntAct:19433799;IntAct:23542348;IntAct:24622840;ProtMapper:23453972;ProtMapper:29018427;SIGNOR:24622840], OPTN [BioGRID:27538435;InnateDB:18307994;InnateDB:20174559;InnateDB:21903422;IntAct:18307994;IntAct:23414517;IntAct:25803835;IntAct:27086836;Lit-BM-17:18307994;Lit-BM-17:20174559;Lit-BM-17:21903422;Lit-BM-17:23414517;Lit-BM-17:25803835;Lit-BM-17:25923723;Lit-BM-17:26365381;Lit-BM-17:27035970;Lit-BM-17:27086836;Lit-BM-17:27538435;SIGNOR:20174559], IKBKB [HPRD:14560022;InnateDB:14560022;InnateDB:21138416;InnateDB:21903422;ProtMapper:29125880;dbPTM:11839743;dbPTM:19369195], DTX4 [SIGNOR:10531053], TRIM23 [BioGRID:31189704;SIGNOR:28871090], DYRK2 [PhosphoSite:26407194;ProtMapper:26407194;ProtMapper:27012466;ProtMapper:28408866;ProtMapper:28676338], CSNK2A2 [KEA:17570479], TNF [NetPath:15485837;ProtMapper:23396211], EXOC2 [InnateDB:17018283], CHUK [InnateDB:21138416;ProtMapper:29125880]
P51511	MMP15	1	adhesion, cell_surface_enzyme, ecm, receptor	adhesion, cell_adhesion, cell_surface_enzyme, cell_surface_peptidase, ecm, ecm_regulator, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	P30968	GNRHR	GNRHR [SPIKE:17201186]
B2RN74	OR11H12	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q13976	PRKG1	1	receptor	intracellular, receptor	O96001, P17252, P62714, P67775, Q13237	PPP1R17, PPP2CA, PPP2CB, PRKCA, PRKG2	PPP1R17 [HPRD:10051666], PRKCA [HPRD-phos:12609995;HPRD:12609995;KEA:12609995;KEA:17570479;PhosphoSite:12609995;ProtMapper:12609995;SIGNOR:12609995;iPTMnet:12609995;phosphoELM:12609995], PPP2CA [DEPOD:10322434], PPP2CB [DEPOD:10322434], PRKG2 [KEA:17570479]
P31641	SLC6A6	1	receptor, transporter	cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transporter	NA	NA	NA
Q8NGC1	OR11G2	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q9NRK6	ABCB10	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
Q96KK3	KCNS1	1	receptor, transporter	cell_surface, intracellular, ion_channel, peripheral, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
Q9BYW1	SLC2A11	1	receptor, transporter	cell_surface, intracellular, plasma_membrane, receptor, transmembrane, transporter	NA	NA	NA
P25445	FAS	20	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	O15350, O60936, O75888, P00533, P01375, P04637, P06239, P06241, P08581, P0DP23, P11274, P17252, P17612, P25490, P31749, P42224, P42575, P45983, P48023, P48729, P49137, Q05655, Q06187, Q12923, Q13158, Q13546, Q14790, Q9H422, Q9UER7	AKT1, BCR, BTK, CALM1, CASP2, CASP8, CSNK1A1, DAXX, EGFR, FADD, FASLG, FYN, HIPK3, LCK, MAPK8, MAPKAPK2, MET, NOL3, PRKACA, PRKCA, PRKCD, PTPN13, RIPK1, STAT1, TNF, TNFSF13, TP53, TP73, YY1	STAT1 [SPIKE:17992189], DAXX [BioGRID:11773067;BioGRID:14637155;HPRD:11193028;HPRD:11483955;HPRD:9215629;IntAct:11003656;IntAct:11495919;IntAct:25241761;Lit-BM-17:11003656;Lit-BM-17:11495919;Lit-BM-17:11773067;Lit-BM-17:14637155;Lit-BM-17:25241761;Lit-BM-17:9215629;Macrophage:15725726;Macrophage:9215629;Macrophage:9743501;SIGNOR:9215629], TP73 [SPIKE:19788416], NOL3 [SPIKE:15383280], YY1 [SPIKE:18495079], TP53 [SPIKE:9841917], FADD [CellTalkDB:19118384;Cellinker:19118384;DIP:19118384;DIP:20935634;DIP:21713032;DIP:26942442;DIP:7538907;DOMINO:7538907;HPRD:17159907;HPRD:19118384;HPRD:7536190;HPRD:7538907;HPRD:9325248;InnateDB:11464215;InnateDB:12721308;InnateDB:15993755;InnateDB:16410793;InnateDB:16762833;InnateDB:9880544;IntAct:16498403;IntAct:17159907;IntAct:18328427;IntAct:19118384;IntAct:20935634;IntAct:21382479;IntAct:25241761;IntAct:7536190;IntAct:7538907;LRdb:19118384;Lit-BM-17:11035039;Lit-BM-17:11717445;Lit-BM-17:12107169;Lit-BM-17:15659383;Lit-BM-17:16498403;Lit-BM-17:17159907;Lit-BM-17:18328427;Lit-BM-17:20935634;Lit-BM-17:21382479;Lit-BM-17:21625644;Lit-BM-17:21803845;Lit-BM-17:22864571;Lit-BM-17:25241761;Lit-BM-17:26186194;Lit-BM-17:27321185;Lit-BM-17:7536190;Lit-BM-17:7538907;Lit-BM-17:8967952;Lit-BM-17:9082980;Lit-BM-17:9325248;MPPI:10196099;Macrophage:15725726;Macrophage:7538907;Macrophage:8967952], FASLG [Baccin2019:9126929;Baccin2019:9228058;BioGRID:9126929;BioGRID:9228058;CA1:1375228;CA1:1713127;CA1:7505205;CellTalkDB:9126929;Cellinker:9126929;Cellinker:9228058;HPMR:9126929;HPRD:9126929;HPRD:9228058;ICELLNET:11239407;IntAct:21803845;IntAct:25241761;LRdb:9126929;LRdb:9228058;Lit-BM-17:12753742;Lit-BM-17:12887920;Lit-BM-17:15659383;Lit-BM-17:21803845;Lit-BM-17:25241761;Lit-BM-17:9126929;Lit-BM-17:9228058;Macrophage:15725726;Macrophage:8521815;Macrophage:9039262;Macrophage:9126929;Macrophage:9228058;SIGNOR:14965271;SIGNOR:9228058;SPIKE:9126929;SPIKE:9228058;connectomeDB2020:9126929;connectomeDB2020:9228058], PTPN13 [HPRD:12724420;HPRD:7536343;HPRD:9079683;HPRD:9835052;InnateDB:18195016], RIPK1 [DIP:7538908;HPRD:7538908;HPRD:9740801;SIGNOR:18545270], TNFSF13 [Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119], TNF [CellTalkDB:32103204], CALM1 [CellTalkDB:23760276;HPRD:14594800], CASP8 [BioGRID:11978827;Cellinker:19118384;HPRD:11101867;HPRD:17159907;InnateDB:12721308;InnateDB:15993755;InnateDB:17047155;InnateDB:17898872;InnateDB:22421964;InnateDB:9208847;IntAct:16498403;IntAct:17159907;IntAct:18328427;IntAct:20956295;MPPI:10196099], MET [Cellinker:28536399;HPRD:15911745], AKT1 [KEA:12861023], BCR [KEA:9360956], CSNK1A1 [KEA:9360956], MAPK8 [KEA:7890696;Lit-BM-17:15659383;Lit-BM-17:25241761], MAPKAPK2 [KEA:12861023], PRKACA [KEA:12861023], PRKCD [KEA:12861023], BTK [HPRD:9751072;InnateDB:9880544], CASP2 [AlzPathway:14555243], EGFR [HPRD:12586732], PRKCA [HPRD:12586732], FYN [HPRD:8626376], LCK [HPRD:8864141], HIPK3 [HPRD:11034606]
