hgnc_symbol	description	keep_in_list	ensembl_gene_ids	uniprot_gn_ids	consensus_score
IL36RN	interleukin 36 receptor antagonist	Yes	ENSG00000136695	Q9UBH0	9
FGF11	fibroblast growth factor 11	Yes	"ENSG00000283903, ENSG00000161958"	Q92914	9
WNT9B	Wnt family member 9B	Yes	"ENSG00000276799, ENSG00000158955"	O14905	9
IFNE	interferon epsilon	Yes	ENSG00000184995	Q86WN2	9
NXPH2	neurexophilin 2	Yes	ENSG00000144227	O95156	9
NXPH1	neurexophilin 1	Yes	ENSG00000122584	P58417	9
CD5L	CD5 molecule like	Yes	ENSG00000073754	O43866	9
WNT6	Wnt family member 6	Yes	ENSG00000115596	Q9Y6F9	9
MIF	macrophage migration inhibitory factor	Yes	"ENSG00000276701, ENSG00000240972"	P14174	8
SCGB1A1	secretoglobin family 1A member 1	Yes	ENSG00000149021	P11684	8
OLFM2	olfactomedin 2	Yes	ENSG00000105088	O95897	8
THBS1	thrombospondin 1	TBD	ENSG00000137801	P07996	8
WNT9A	Wnt family member 9A	Yes	ENSG00000143816	O14904	8
ANGPTL4	angiopoietin like 4	Yes	ENSG00000167772	Q9BY76	8
THBS2	thrombospondin 2	TBD	ENSG00000186340	P35442	8
DEFB4B	defensin beta 4B	TBD	"ENSG00000275444, ENSG00000285433, ENSG00000177257"	O15263	8
DEFB4A	defensin beta 4A	TBD	"ENSG00000285181, ENSG00000171711"	O15263	8
RELN	reelin	TBD	ENSG00000189056	P78509	8
CGB5	chorionic gonadotropin subunit beta 5	Yes	ENSG00000189052	P0DN86	8
CCL4L2	C-C motif chemokine ligand 4 like 2	Yes	"ENSG00000282604, ENSG00000275313, ENSG00000276125, ENSG00000276070"	Q8NHW4	8
IGFL2	IGF like family member 2	Yes	ENSG00000204866	Q6UWQ7	8
WNT10A	Wnt family member 10A	Yes	ENSG00000135925	Q9GZT5	8
CGB3	chorionic gonadotropin subunit beta 3	Yes	ENSG00000104827	P0DN86	8
WNT8B	Wnt family member 8B	Yes	ENSG00000075290	Q93098	8
PIP	prolactin induced protein	TBD	ENSG00000159763	P12273	8
IGFL1	IGF like family member 1	Yes	ENSG00000188293	Q6UW32	8
NTN3	netrin 3	Yes	ENSG00000162068	O00634	8
WNT10B	Wnt family member 10B	Yes	ENSG00000169884	O00744	8
CGB8	chorionic gonadotropin subunit beta 8	Yes	ENSG00000213030	P0DN86	8
DLK1	delta like non-canonical Notch ligand 1	Yes	ENSG00000185559	P80370	7
GRN	granulin precursor	Yes	ENSG00000030582	P28799	7
GREM1	"gremlin 1, DAN family BMP antagonist"	Yes	"ENSG00000276886, ENSG00000282046, ENSG00000166923"	O60565	7
CGN	cingulin	TBD	ENSG00000143375	Q9P2M7	7
C1QTNF5	C1q and TNF related 5	TBD	ENSG00000223953	Q9BXJ0	7
C4B	complement C4B (Chido blood group)	TBD	"ENSG00000224639, ENSG00000228454, ENSG00000236625, ENSG00000228267, ENSG00000224389"	P0C0L5	7
TF	transferrin	TBD	ENSG00000091513	P02787	7
C4B_2	"complement component 4B (Chido blood group), copy 2"	TBD	ENSG00000233312	P0C0L5	7
DEFB103A	defensin beta 103A	TBD	"ENSG00000285376, ENSG00000284978, ENSG00000176797"	P81534	7
ORM1	orosomucoid 1	TBD	ENSG00000229314	P02763	7
DEFB103B	defensin beta 103B	TBD	"ENSG00000273641, ENSG00000177243"	P81534	7
DEFB1	defensin beta 1	TBD	"ENSG00000284881, ENSG00000164825"	P60022	6
NLGN1	neuroligin 1	Yes	ENSG00000169760	Q8N2Q7	6
ENHO	energy homeostasis associated	Yes	ENSG00000168913	Q6UWT2	6
CXCL14	C-X-C motif chemokine ligand 14	Yes	ENSG00000145824	O95715	6
PDCD1LG2	programmed cell death 1 ligand 2	TBD	ENSG00000197646	Q9BQ51	6
PF4V1	platelet factor 4 variant 1	Yes	ENSG00000109272	P10720	6
PRND	prion like protein doppel		ENSG00000171864	Q9UKY0	6
OBP2A	odorant binding protein 2A	TBD	ENSG00000122136	Q9NY56	6
RETN	resistin	Yes	ENSG00000104918	Q9HD89	6
SLURP1	secreted LY6/PLAUR domain containing 1	TBD	ENSG00000126233	P55000	6
