UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
P10696	NA	SIMILARITY: Belongs to the alkaline phosphatase family. {ECO:0000305}.	Alkaline phosphatase family	NA	NA	NA	NA	REGION 422..443;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P16410	NA	NA	NA	NA	NA	DOMAIN 39..140;  /note=Ig-like V-type	NA	REGION 46..50;  /note=Homodimerization;  /evidence=ECO:0000269|PubMed:21156796; REGION 134..139;  /note=Important for interaction with CD80 and CD86;  /evidence=ECO:0000269|PubMed:28484017; REGION 150..155;  /note=Homodimerization;  /evidence=ECO:0000269|PubMed:21156796, ECO:0000269|PubMed:28484017	NA	NA
Q16568	NA	SIMILARITY: Belongs to the CART family. {ECO:0000305}.	CART family	NA	NA	NA	NA	NA	NA	NA
P03952	NA	SIMILARITY: Belongs to the peptidase S1 family. Plasma kallikrein subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Plasma kallikrein subfamily	NA	NA	DOMAIN 21..104;  /note=Apple 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 111..194;  /note=Apple 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 201..284;  /note=Apple 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 292..375;  /note=Apple 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 391..626;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P16473	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. FSH/LSH/TSH subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, FSH/LSH/TSH subfamily	NA	NA	NA	MOTIF 762..764;  /note=PDZ-binding	NA	REPEAT 100..124;  /note=LRR 1; REPEAT 125..150;  /note=LRR 2; REPEAT 152..174;  /note=LRR 3; REPEAT 176..199;  /note=LRR 4; REPEAT 200..223;  /note=LRR 5; REPEAT 227..248;  /note=LRR 6; REPEAT 250..271;  /note=LRR 7	NA
P09238	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 89..96;  /note=Cysteine switch;  /evidence=ECO:0000250	NA	REPEAT 286..335;  /note=Hemopexin 1; REPEAT 336..382;  /note=Hemopexin 2; REPEAT 384..432;  /note=Hemopexin 3; REPEAT 433..476;  /note=Hemopexin 4	NA
Q9NRE1	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 80..87;  /note=Cysteine switch;  /evidence=ECO:0000250	NA	NA	NA
Q9BQB6	DOMAIN: The number of transmembrane domains and the membrane topology are controversial; supporting evidence is available both for models with three transmembrane domains (PubMed:15716279 and PubMed:22923610) and four transmembrane domains (PubMed:20696932 and PubMed:20978134). According to PubMed:15716279 and PubMed:22923610 the N-terminus of the protein is in the endoplasmic reticulum lumen, while the C-terminus is in the cytosol, which is in favor of three transmembrane domains. According to PubMed:20696932, both N-terminus and C-terminus are in the cytosol, indicating the presence of four transmembrane domains. Besides, the 3D-structure of a bacterial ortholog shows four transmembrane domains. Moreover, proteins that reside in the endoplasmic reticulum lumen can catalyze the reduction of the active site cysteines, possibly via Cys-43 and Cys-51 (PubMed:20696932 and PubMed:20978134), but less efficiently than the synthetic compound dithiothreitol (in vitro). Location of Cys-43 and Cys-51 in the endoplasmic reticulum lumen would be in agreement with four transmembrane domains. Again, these data are controversial, and papers do not agree on the effects of mutating Cys-43 and Cys-51, probably because of differences in the assay systems.	SIMILARITY: Belongs to the VKOR family. {ECO:0000305}.	VKOR family	NA	NA	NA	NA	NA	NA	NA
P06870	NA	SIMILARITY: Belongs to the peptidase S1 family. Kallikrein subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Kallikrein subfamily	NA	NA	DOMAIN 25..259;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P41594	NA	SIMILARITY: Belongs to the G-protein coupled receptor 3 family. {ECO:0000305}.	G-protein coupled receptor 3 family	NA	COMPBIAS 937..952;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1170..1189;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 173..175;  /note=Glutamate binding; REGION 805..809;  /note=Allosteric effector binding; REGION 937..971;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1010..1056;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1132..1191;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8NBP7	DOMAIN: The C-terminal domain (CRD) is essential for the LDLR-binding and degrading activities. {ECO:0000269|PubMed:22027821}.; DOMAIN: The catalytic domain is responsible for mediating its self-association. {ECO:0000269|PubMed:22027821}.	SIMILARITY: Belongs to the peptidase S8 family. {ECO:0000305}.	Peptidase S8 family	NA	NA	DOMAIN 77..149;  /note=Inhibitor I9;  /evidence=ECO:0000255; DOMAIN 155..461;  /note=Peptidase S8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01240	NA	REGION 450..692;  /note=C-terminal domain	NA	NA
P23945	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. FSH/LSH/TSH subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, FSH/LSH/TSH subfamily	NA	NA	DOMAIN 18..46;  /note=LRRNT	NA	NA	REPEAT 49..72;  /note=LRR 1; REPEAT 73..97;  /note=LRR 2; REPEAT 98..118;  /note=LRR 3; REPEAT 119..143;  /note=LRR 4; REPEAT 144..169;  /note=LRR 5; REPEAT 170..192;  /note=LRR 6; REPEAT 193..216;  /note=LRR 7; REPEAT 217..240;  /note=LRR 8; REPEAT 241..259;  /note=LRR 9	NA
P04054	NA	SIMILARITY: Belongs to the phospholipase A2 family. {ECO:0000305}.	Phospholipase A2 family	NA	NA	NA	NA	NA	NA	NA
P02671	DOMAIN: A long coiled coil structure formed by 3 polypeptide chains connects the central nodule to the C-terminal domains (distal nodules). The long C-terminal ends of the alpha chains fold back, contributing a fourth strand to the coiled coil structure. {ECO:0000269|PubMed:19296670, ECO:0000269|PubMed:9628725, ECO:0000305}.	NA	NA	COILED 68..631;  /evidence=ECO:0000305|PubMed:19296670	COMPBIAS 269..419;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 425..447;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 544..563;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 573..597;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 598..634;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 623..864;  /note=Fibrinogen C-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00739	NA	REGION 36..38;  /note=Alpha-chain polymerization, binding distal domain of another fibrin gamma chain; REGION 262..460;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 543..638;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P02675	DOMAIN: A long coiled coil structure formed by 3 polypeptide chains connects the central nodule to the C-terminal domains (distal nodules). The long C-terminal ends of the alpha chains fold back, contributing a fourth strand to the coiled coil structure. {ECO:0000269|PubMed:10074346, ECO:0000269|PubMed:19296670, ECO:0000269|PubMed:9628725}.	NA	NA	COILED 157..222;  /evidence=ECO:0000305|PubMed:10074346, ECO:0000305|PubMed:19296670, ECO:0000305|PubMed:9628725	COMPBIAS 44..58;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 232..488;  /note=Fibrinogen C-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00739	NA	REGION 44..75;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 45..47;  /note=Beta-chain polymerization, binding distal domain of another fibrin	NA	NA
P49765	NA	SIMILARITY: Belongs to the PDGF/VEGF growth factor family. {ECO:0000305}.	PDGF/VEGF growth factor family	NA	COMPBIAS 122..143;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 122..207;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P06858	NA	SIMILARITY: Belongs to the AB hydrolase superfamily. Lipase family. {ECO:0000305}.	AB hydrolase superfamily, Lipase family	NA	NA	DOMAIN 341..464;  /note=PLAT;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00152	NA	REGION 32..53;  /note=Interaction with GPIHBP1;  /evidence=ECO:0000269|PubMed:30559189; REGION 243..266;  /note=Essential for determining substrate specificity;  /evidence=ECO:0000269|PubMed:7592706; REGION 417..421;  /note=Important for interaction with lipoprotein particles;  /evidence=ECO:0000269|PubMed:27929370; REGION 430..434;  /note=Important for heparin binding;  /evidence=ECO:0000269|PubMed:11342582; REGION 443..467;  /note=Interaction with GPIHBP1;  /evidence=ECO:0000269|PubMed:26725083, ECO:0000269|PubMed:30559189	NA	NA
P16233	NA	SIMILARITY: Belongs to the AB hydrolase superfamily. Lipase family. {ECO:0000305}.	AB hydrolase superfamily, Lipase family	NA	NA	DOMAIN 355..465;  /note=PLAT;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00152	NA	NA	NA	NA
P00734	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 44..89;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463; DOMAIN 108..186;  /note=Kringle 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 213..291;  /note=Kringle 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 364..618;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 551..573;  /note=High affinity receptor-binding region which is also known as the TP508 peptide	NA	NA
P09871	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 16..130;  /note=CUB 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 131..172;  /note=EGF-like; calcium-binding; DOMAIN 175..290;  /note=CUB 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 292..356;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 357..423;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 438..680;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P07098	NA	SIMILARITY: Belongs to the AB hydrolase superfamily. Lipase family. {ECO:0000305}.	AB hydrolase superfamily, Lipase family	NA	NA	DOMAIN 78..377;  /note=AB hydrolase-1;  /evidence=ECO:0000255	NA	NA	NA	NA
P07333	DOMAIN: The juxtamembrane domain functions as autoinhibitory region. Phosphorylation of tyrosine residues in this region leads to a conformation change and activation of the kinase.; DOMAIN: The activation loop plays an important role in the regulation of kinase activity. Phosphorylation of tyrosine residues in this region leads to a conformation change and activation of the kinase.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1/PDGF receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	NA	COMPBIAS 926..942;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 21..104;  /note=Ig-like C2-type 1; DOMAIN 107..197;  /note=Ig-like C2-type 2; DOMAIN 203..290;  /note=Ig-like C2-type 3; DOMAIN 299..399;  /note=Ig-like C2-type 4; DOMAIN 402..502;  /note=Ig-like C2-type 5; DOMAIN 582..910;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 542..574;  /note=Regulatory juxtamembrane domain; REGION 796..818;  /note=Activation loop; REGION 918..950;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P32418	DOMAIN: The cytoplasmic Calx-beta domains bind the regulatory Ca(2+). The first Calx-beta domain can bind up to four Ca(2+) ions. The second domain can bind another two Ca(2+) ions that are essential for calcium-regulated ion exchange. {ECO:0000250|UniProtKB:P23685}.	SIMILARITY: Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family. SLC8 subfamily. {ECO:0000305}.	Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family, SLC8 subfamily	NA	NA	DOMAIN 396..496;  /note=Calx-beta 1; DOMAIN 527..627;  /note=Calx-beta 2	NA	REGION 254..273;  /note=Putative calmodulin-binding region;  /evidence=ECO:0000250|UniProtKB:P23685	REPEAT 141..181;  /note=Alpha-1; REPEAT 842..878;  /note=Alpha-2	NA
P07225	NA	NA	NA	NA	NA	DOMAIN 42..87;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463; DOMAIN 117..155;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 157..200;  /note=EGF-like 2; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 201..242;  /note=EGF-like 3; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 243..283;  /note=EGF-like 4; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 299..475;  /note=Laminin G-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122; DOMAIN 484..666;  /note=Laminin G-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00122	NA	REGION 88..116;  /note=Thrombin-sensitive	NA	NA
P00451	DOMAIN: Domain F5/8 type C 2 is responsible for phospholipid-binding and essential for factor VIII activity.	SIMILARITY: Belongs to the multicopper oxidase family. {ECO:0000305}.	Multicopper oxidase family	NA	NA	DOMAIN 20..348;  /note=F5/8 type A 1; DOMAIN 20..198;  /note=Plastocyanin-like 1; DOMAIN 206..348;  /note=Plastocyanin-like 2; DOMAIN 399..730;  /note=F5/8 type A 2; DOMAIN 399..573;  /note=Plastocyanin-like 3; DOMAIN 583..730;  /note=Plastocyanin-like 4; DOMAIN 1713..2040;  /note=F5/8 type A 3; DOMAIN 1713..1877;  /note=Plastocyanin-like 5; DOMAIN 1887..2040;  /note=Plastocyanin-like 6; DOMAIN 2040..2188;  /note=F5/8 type C 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00081; DOMAIN 2193..2345;  /note=F5/8 type C 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00081	NA	REGION 760..1667;  /note=B; REGION 906..928;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 941..961;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P19235	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.; DOMAIN: Contains 1 copy of a cytoplasmic motif that is referred to as the immunoreceptor tyrosine-based inhibitor motif (ITIM). This motif is involved in modulation of cellular responses. The phosphorylated ITIM motif can bind the SH2 domain of several SH2-containing phosphatases.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 1 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 1 subfamily	NA	COMPBIAS 467..488;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 147..247;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 233..237;  /note=WSXWS motif; MOTIF 282..290;  /note=Box 1 motif; MOTIF 452..457;  /note=ITIM motif	REGION 454..456;  /note=Required for high-affinity SOCS3 binding; REGION 467..494;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P14555	NA	SIMILARITY: Belongs to the phospholipase A2 family. {ECO:0000305}.	Phospholipase A2 family	NA	NA	NA	NA	NA	NA	NA
P03956	DOMAIN: There are two distinct domains in this protein; the catalytic N-terminal, and the C-terminal which is involved in substrate specificity and in binding TIMP (tissue inhibitor of metalloproteinases).; DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme. {ECO:0000269|PubMed:15611040, ECO:0000269|PubMed:2153297}.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 90..97;  /note=Cysteine switch;  /evidence=ECO:0000269|PubMed:15611040, ECO:0000269|PubMed:2153297	REGION 98..276;  /note=Metalloprotease	REPEAT 275..324;  /note=Hemopexin 1; REPEAT 325..371;  /note=Hemopexin 2; REPEAT 374..422;  /note=Hemopexin 3; REPEAT 423..466;  /note=Hemopexin 4	NA
P08246	NA	SIMILARITY: Belongs to the peptidase S1 family. Elastase subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Elastase subfamily	NA	NA	DOMAIN 30..247;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P05120	NA	SIMILARITY: Belongs to the serpin family. Ov-serpin subfamily. {ECO:0000305}.	Serpin family, Ov-serpin subfamily	NA	NA	NA	NA	NA	NA	NA
P27487	DOMAIN: The extracellular cysteine-rich region is necessary for association with collagen, dimer formation and optimal dipeptidyl peptidase activity.	SIMILARITY: Belongs to the peptidase S9B family. DPPIV subfamily. {ECO:0000305}.	Peptidase S9B family, DPPIV subfamily	NA	NA	NA	NA	NA	NA	NA
Q92637	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. FCGR1 family. {ECO:0000305}.	Immunoglobulin superfamily, FCGR1 family	NA	COMPBIAS 258..272;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 22..101;  /note=Ig-like C2-type 1; DOMAIN 95..184;  /note=Ig-like C2-type 2	NA	REGION 258..280;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P15509	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	DOMAIN 220..320;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 306..310;  /note=WSXWS motif; MOTIF 355..363;  /note=Box 1 motif	NA	NA	NA
Q9ULZ9	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 108..115;  /note=Cysteine switch;  /evidence=ECO:0000250	REGION 301..329;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 537..571;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 333..378;  /note=Hemopexin 1; REPEAT 382..427;  /note=Hemopexin 2; REPEAT 428..475;  /note=Hemopexin 3; REPEAT 476..523;  /note=Hemopexin 4	NA
P12259	DOMAIN: Domain B contains 35 x 9 AA tandem repeats, and 2 x 17 AA repeats.	SIMILARITY: Belongs to the multicopper oxidase family. {ECO:0000305}.	Multicopper oxidase family	NA	COMPBIAS 1097..1115;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1133..1152;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 30..329;  /note=F5/8 type A 1; DOMAIN 30..193;  /note=Plastocyanin-like 1; DOMAIN 203..329;  /note=Plastocyanin-like 2; DOMAIN 348..684;  /note=F5/8 type A 2; DOMAIN 348..526;  /note=Plastocyanin-like 3; DOMAIN 536..684;  /note=Plastocyanin-like 4; DOMAIN 1578..1907;  /note=F5/8 type A 3; DOMAIN 1578..1751;  /note=Plastocyanin-like 5; DOMAIN 1761..1907;  /note=Plastocyanin-like 6; DOMAIN 1907..2061;  /note=F5/8 type C 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00081; DOMAIN 2066..2221;  /note=F5/8 type C 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00081	NA	REGION 692..1573;  /note=B; REGION 822..842;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 894..927;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 895..928;  /note=2 X 17 AA tandem repeats; REGION 982..1001;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1029..1048;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1097..1157;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1185..1501;  /note=35 X 9 AA approximate tandem repeats of [TNP]-L-S-P-D-L-S-Q-T; REGION 1341..1367;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 895..911;  /note=1-1; REPEAT 912..928;  /note=1-2; REPEAT 1185..1193;  /note=2-1; REPEAT 1194..1202;  /note=2-2; REPEAT 1203..1211;  /note=2-3; REPEAT 1212..1220;  /note=2-4; REPEAT 1221..1229;  /note=2-5; REPEAT 1230..1238;  /note=2-6; REPEAT 1239..1247;  /note=2-7; REPEAT 1248..1256;  /note=2-8; REPEAT 1257..1265;  /note=2-9; REPEAT 1266..1274;  /note=2-10; REPEAT 1275..1283;  /note=2-11; REPEAT 1284..1292;  /note=2-12; REPEAT 1293..1301;  /note=2-13; REPEAT 1302..1310;  /note=2-14; REPEAT 1311..1319;  /note=2-15; REPEAT 1320..1328;  /note=2-16; REPEAT 1329..1337;  /note=2-17; REPEAT 1338..1346;  /note=2-18; REPEAT 1347..1355;  /note=2-19; REPEAT 1356..1364;  /note=2-20; REPEAT 1365..1373;  /note=2-21; REPEAT 1374..1382;  /note=2-22; REPEAT 1383..1391;  /note=2-23; REPEAT 1392..1400;  /note=2-24; REPEAT 1401..1409;  /note=2-25; REPEAT 1410..1418;  /note=2-26; REPEAT 1419..1427;  /note=2-27; REPEAT 1428..1436;  /note=2-28; REPEAT 1437..1445;  /note=2-29; REPEAT 1446..1454;  /note=2-30; REPEAT 1455..1463;  /note=2-31; REPEAT 1464..1472;  /note=2-32; REPEAT 1473..1481;  /note=2-33; REPEAT 1482..1490;  /note=2-34; REPEAT 1493..1501;  /note=2-35	NA
P23141	NA	SIMILARITY: Belongs to the type-B carboxylesterase/lipase family. {ECO:0000305}.	Type-B carboxylesterase/lipase family	NA	NA	NA	NA	NA	NA	NA
P08637	NA	NA	NA	NA	NA	DOMAIN 24..105;  /note=Ig-like C2-type 1; DOMAIN 107..189;  /note=Ig-like C2-type 2	NA	NA	NA	NA
O14521	NA	SIMILARITY: Belongs to the CybS family. {ECO:0000305}.	CybS family	NA	NA	NA	NA	NA	NA	NA
Q9UBS5	DOMAIN: Alpha-helical parts of the C-terminal intracellular region mediate heterodimeric interaction with GABBR2 (PubMed:9872744). The linker region between the transmembrane domain 3 (TM3) and the transmembrane domain 4 (TM4) probably plays a role in the specificity for G-protein coupling (PubMed:9844003). {ECO:0000305|PubMed:9844003, ECO:0000305|PubMed:9872744}.	SIMILARITY: Belongs to the G-protein coupled receptor 3 family. GABA-B receptor subfamily. {ECO:0000305}.	G-protein coupled receptor 3 family, GABA-B receptor subfamily	COILED 869..925;  /evidence=ECO:0000255	COMPBIAS 867..884;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 927..946;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 30..96;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 98..159;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	REGION 867..892;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 888..916;  /note=Interaction with ATF4;  /evidence=ECO:0000250; REGION 909..961;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P07477	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 24..244;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P12532	NA	SIMILARITY: Belongs to the ATP:guanido phosphotransferase family. {ECO:0000255|PROSITE-ProRule:PRU00842, ECO:0000255|PROSITE-ProRule:PRU00843}.	ATP:guanido phosphotransferase family	NA	NA	DOMAIN 45..131;  /note=Phosphagen kinase N-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00842; DOMAIN 158..400;  /note=Phosphagen kinase C-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00843	NA	REGION 40..64;  /note=Cardiolipin-binding;  /evidence=ECO:0000250	NA	NA
P0C0L5	NA	NA	NA	NA	NA	DOMAIN 702..736;  /note=Anaphylatoxin-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00022; DOMAIN 1595..1742;  /note=NTR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00295	NA	NA	NA	NA
P01375	NA	SIMILARITY: Belongs to the tumor necrosis factor family. {ECO:0000305}.	Tumor necrosis factor family	NA	NA	NA	NA	NA	NA	NA
P125321	NA	SIMILARITY: Belongs to the ATP:guanido phosphotransferase family. {ECO:0000255|PROSITE-ProRule:PRU00842, ECO:0000255|PROSITE-ProRule:PRU00843}.	ATP:guanido phosphotransferase family	NA	NA	DOMAIN 45..131;  /note=Phosphagen kinase N-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00842; DOMAIN 158..400;  /note=Phosphagen kinase C-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00843	NA	REGION 40..64;  /note=Cardiolipin-binding;  /evidence=ECO:0000250	NA	NA
P02818	NA	SIMILARITY: Belongs to the osteocalcin/matrix Gla protein family. {ECO:0000305}.	Osteocalcin/matrix Gla protein family	NA	NA	DOMAIN 52..98;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463	NA	NA	NA	NA
P04746	NA	SIMILARITY: Belongs to the glycosyl hydrolase 13 family. {ECO:0000305}.	Glycosyl hydrolase 13 family	NA	NA	NA	NA	NA	NA	NA
