hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
BDKRB2	bradykinin receptor B2 	1.0382927550561798	G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB2 sub-subfamily	Cell membrane; Multi-pass membrane protein.	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]	bradykinin receptor activity [GO:0004947]; G protein-coupled receptor activity [GO:0004930]; phosphatidylinositol phospholipase C activity [GO:0004435]; protease binding [GO:0002020]; protein heterodimerization activity [GO:0046982]; type 1 angiotensin receptor binding [GO:0031702]	arachidonic acid secretion [GO:0050482]; blood circulation [GO:0008015]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator [GO:1902239]; negative regulation of peptidyl-serine phosphorylation [GO:0033137]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of vascular permeability [GO:0043114]; regulation of vasoconstriction [GO:0019229]; response to salt stress [GO:0009651]; smooth muscle contraction [GO:0006939]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vasoconstriction [GO:0042310]; vasodilation [GO:0042311]	ENSG00000168398	P30411
TREM2	triggering receptor expressed on myeloid cells 2 	1.0373004606741574	NA	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:24078628, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:25615530, ECO:0000269|PubMed:27589997, ECO:0000269|PubMed:27995897, ECO:0000269|PubMed:28768830, ECO:0000269|PubMed:28855300, ECO:0000269|PubMed:28855301}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]	amyloid-beta binding [GO:0001540]; apolipoprotein A-I binding [GO:0034186]; apolipoprotein binding [GO:0034185]; high-density lipoprotein particle binding [GO:0008035]; lipid binding [GO:0008289]; lipopolysaccharide binding [GO:0001530]; lipoprotein particle binding [GO:0071813]; lipoteichoic acid binding [GO:0070891]; low-density lipoprotein particle binding [GO:0030169]; peptidoglycan binding [GO:0042834]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]; protein tyrosine kinase binding [GO:1990782]; scaffold protein binding [GO:0097110]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; very-low-density lipoprotein particle binding [GO:0034189]	amyloid-beta clearance [GO:0097242]; apoptotic cell clearance [GO:0043277]; astrocyte activation [GO:0048143]; cellular response to amyloid-beta [GO:1904646]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to peptidoglycan [GO:0071224]; complement-mediated synapse pruning [GO:0150062]; defense response to bacterium [GO:0042742]; dendritic cell differentiation [GO:0097028]; detection of lipopolysaccharide [GO:0032497]; detection of lipoteichoic acid [GO:0070392]; detection of peptidoglycan [GO:0032499]; humoral immune response [GO:0006959]; import into cell [GO:0098657]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; microglial cell activation involved in immune response [GO:0002282]; microglial cell proliferation [GO:0061518]; negative regulation of apoptotic process [GO:0043066]; negative regulation of autophagic cell death [GO:1904093]; negative regulation of autophagy [GO:0010507]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of tumor necrosis factor production [GO:0032720]; neuroinflammatory response [GO:0150076]; osteoclast differentiation [GO:0030316]; phagocytosis, engulfment [GO:0006911]; positive regulation of amyloid-beta clearance [GO:1900223]; positive regulation of antigen processing and presentation of peptide antigen via MHC class II [GO:0002588]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of CAMKK-AMPK signaling cascade [GO:1905291]; positive regulation of C-C chemokine receptor CCR7 signaling pathway [GO:1903082]; positive regulation of CD40 signaling pathway [GO:2000350]; positive regulation of chemotaxis [GO:0050921]; positive regulation of engulfment of apoptotic cell [GO:1901076]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of inward rectifier potassium channel activity [GO:1901980]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of microglial cell migration [GO:1904141]; positive regulation of mitochondrion organization [GO:0010822]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of proteasomal protein catabolic process [GO:1901800]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein secretion [GO:0050714]; positive regulation of TOR signaling [GO:0032008]; regulation of gene expression [GO:0010468]; regulation of immune response [GO:0050776]; regulation of innate immune response [GO:0045088]; regulation of interleukin-6 production [GO:0032675]; regulation of intracellular signal transduction [GO:1902531]; regulation of macrophage inflammatory protein 1 alpha production [GO:0071640]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; regulation of plasma membrane bounded cell projection organization [GO:0120035]; regulation of resting membrane potential [GO:0060075]; regulation of TOR signaling [GO:0032006]; response to ischemia [GO:0002931]	ENSG00000095970	Q9NZC2
IGFLR1	IGF like family receptor 1 	0.9819103852460674	NA	Cell membrane {ECO:0000269|PubMed:21454693}; Single-pass type I membrane protein {ECO:0000269|PubMed:21454693}.	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NA	NA	ENSG00000126246	Q9H665
CCKBR	cholecystokinin B receptor 	0.9803500967157973	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]; cholecystokinin receptor activity [GO:0004951]; gastrin receptor activity [GO:0015054]; peptide hormone binding [GO:0017046]; type B gastrin/cholecystokinin receptor binding [GO:0031741]	cell surface receptor signaling pathway [GO:0007166]; cholecystokinin signaling pathway [GO:0038188]; digestive tract development [GO:0048565]; gastric acid secretion [GO:0001696]; gland development [GO:0048732]; G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; pH reduction [GO:0045851]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	ENSG00000110148	P32239
ITGA10	integrin subunit alpha 10 	0.9695108298812039	Integrin alpha chain family	Membrane; Single-pass type I membrane protein.	integrin alpha10-beta1 complex [GO:0034680]; integrin complex [GO:0008305]; plasma membrane [GO:0005886]	collagen binding [GO:0005518]; collagen binding involved in cell-matrix adhesion [GO:0098639]; metal ion binding [GO:0046872]	cell-matrix adhesion [GO:0007160]; extracellular matrix organization [GO:0030198]; integrin-mediated signaling pathway [GO:0007229]	ENSG00000143127	O75578
IL27RA	interleukin 27 receptor subunit alpha 	0.968297797752809	Type I cytokine receptor family, Type 2 subfamily	Membrane; Single-pass type I membrane protein.	external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; interleukin-12 receptor complex [GO:0042022]; interleukin-23 receptor complex [GO:0072536]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; interleukin-27 receptor activity [GO:0045509]; transmembrane signaling receptor activity [GO:0004888]	cell surface receptor signaling pathway [GO:0007166]; cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-positive bacterium [GO:0050830]; immune response [GO:0006955]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of T cell extravasation [GO:2000408]; negative regulation of T-helper 17 type immune response [GO:2000317]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type 2 immune response [GO:0002829]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of T-helper 1 type immune response [GO:0002827]; regulation of isotype switching to IgG isotypes [GO:0048302]	ENSG00000288185	Q6UWB1
IL27RA	interleukin 27 receptor subunit alpha 	0.968297797752809	Type I cytokine receptor family, Type 2 subfamily	Membrane; Single-pass type I membrane protein.	external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; interleukin-12 receptor complex [GO:0042022]; interleukin-23 receptor complex [GO:0072536]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; interleukin-27 receptor activity [GO:0045509]; transmembrane signaling receptor activity [GO:0004888]	cell surface receptor signaling pathway [GO:0007166]; cytokine-mediated signaling pathway [GO:0019221]; defense response to Gram-positive bacterium [GO:0050830]; immune response [GO:0006955]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of T cell extravasation [GO:2000408]; negative regulation of T-helper 17 type immune response [GO:2000317]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type 2 immune response [GO:0002829]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of T-helper 1 type immune response [GO:0002827]; regulation of isotype switching to IgG isotypes [GO:0048302]	ENSG00000104998	Q6UWB1
MTNR1B	melatonin receptor 1B 	0.9632247609662922	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; synapse [GO:0045202]	G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]	camera-type eye development [GO:0043010]; chemical synaptic transmission [GO:0007268]; glucose homeostasis [GO:0042593]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; negative regulation of cGMP-mediated signaling [GO:0010754]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; negative regulation of insulin secretion [GO:0046676]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transmission of nerve impulse [GO:0051970]; positive regulation of circadian sleep/wake cycle, non-REM sleep [GO:0046010]; positive regulation of transmission of nerve impulse [GO:0051971]; regulation of insulin secretion [GO:0050796]; regulation of neuronal action potential [GO:0098908]	ENSG00000134640	P49286
MC1R	melanocortin 1 receptor 	0.9430188468715256	G-protein coupled receptor 1 family	Cell membrane {ECO:0000269|PubMed:31097585}; Multi-pass membrane protein {ECO:0000255}.	cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; melanocortin receptor activity [GO:0004977]; melanocyte-stimulating hormone receptor activity [GO:0004980]; ubiquitin protein ligase binding [GO:0031625]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of tumor necrosis factor production [GO:0032720]; pigmentation [GO:0043473]; positive regulation of protein kinase A signaling [GO:0010739]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein kinase C signaling [GO:0090037]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of metabolic process [GO:0019222]; UV-damage excision repair [GO:0070914]; UV protection [GO:0009650]	ENSG00000258839	Q01726
RAMP3	receptor activity modifying protein 3 	0.918932201206045	RAMP family	Cell membrane {ECO:0000269|PubMed:23674134}; Single-pass type I membrane protein {ECO:0000269|PubMed:23674134}. Membrane {ECO:0000269|PubMed:23674134}; Single-pass type I membrane protein {ECO:0000269|PubMed:23674134}. Note=Moves from intracellular puncta to the plasma membrane in a RAMP3-dependent manner.	adrenomedullin receptor complex [GO:1903143]; amylin receptor complex 3 [GO:0150058]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	adrenomedullin receptor activity [GO:0001605]; amyloid-beta binding [GO:0001540]; coreceptor activity [GO:0015026]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adrenomedullin receptor signaling pathway [GO:1990410]; amylin receptor signaling pathway [GO:0097647]; angiogenesis [GO:0001525]; calcium ion transport [GO:0006816]; cellular response to estradiol stimulus [GO:0071392]; cellular response to hormone stimulus [GO:0032870]; cross-receptor inhibition within G protein-coupled receptor heterodimer [GO:0038041]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway involved in heart process [GO:0086103]; intracellular protein transport [GO:0006886]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; positive regulation of cell death [GO:0010942]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein kinase A signaling [GO:0010739]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of receptor recycling [GO:0001921]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; receptor internalization [GO:0031623]; response to amyloid-beta [GO:1904645]	ENSG00000122679	O60896
DRD2	dopamine receptor D2 	0.9131148258656064	G-protein coupled receptor 1 family	Cell membrane {ECO:0000269|PubMed:21645528, ECO:0000269|PubMed:26535572}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:26535572}; Multi-pass membrane protein {ECO:0000255}.	acrosomal vesicle [GO:0001669]; axon [GO:0030424]; axon terminus [GO:0043679]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; dopaminergic synapse [GO:0098691]; endocytic vesicle [GO:0030139]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; lateral plasma membrane [GO:0016328]; non-motile cilium [GO:0097730]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; sperm flagellum [GO:0036126]; synapse [GO:0045202]; synaptic vesicle membrane [GO:0030672]	dopamine binding [GO:0035240]; dopamine neurotransmitter receptor activity, coupled via Gi/Go [GO:0001591]; G protein-coupled receptor activity [GO:0004930]; identical protein binding [GO:0042802]; ionotropic glutamate receptor binding [GO:0035255]; potassium channel regulator activity [GO:0015459]; protein-containing complex binding [GO:0044877]	acid secretion [GO:0046717]; activation of protein kinase activity [GO:0032147]; adenohypophysis development [GO:0021984]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting dopamine receptor signaling pathway [GO:0007195]; adult walking behavior [GO:0007628]; arachidonic acid secretion [GO:0050482]; associative learning [GO:0008306]; auditory behavior [GO:0031223]; autophagy [GO:0006914]; axonogenesis [GO:0007409]; behavioral response to cocaine [GO:0048148]; behavioral response to ethanol [GO:0048149]; branching morphogenesis of a nerve [GO:0048755]; cellular calcium ion homeostasis [GO:0006874]; cerebral cortex GABAergic interneuron migration [GO:0021853]; circadian regulation of gene expression [GO:0032922]; dopamine metabolic process [GO:0042417]; drinking behavior [GO:0042756]; excitatory postsynaptic potential [GO:0060079]; G protein-coupled receptor internalization [GO:0002031]; grooming behavior [GO:0007625]; hyaloid vascular plexus regression [GO:1990384]; intracellular signal transduction [GO:0035556]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of blood pressure [GO:0045776]; negative regulation of cell death [GO:0060548]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of circadian sleep/wake cycle, sleep [GO:0042321]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; negative regulation of dopamine receptor signaling pathway [GO:0060160]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of innate immune response [GO:0045824]; negative regulation of insulin secretion [GO:0046676]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein secretion [GO:0050709]; negative regulation of synaptic transmission, glutamatergic [GO:0051967]; negative regulation of voltage-gated calcium channel activity [GO:1901386]; nervous system process involved in regulation of systemic arterial blood pressure [GO:0001976]; neuron-neuron synaptic transmission [GO:0007270]; orbitofrontal cortex development [GO:0021769]; peristalsis [GO:0030432]; phospholipase C-activating dopamine receptor signaling pathway [GO:0060158]; pigmentation [GO:0043473]; positive regulation of cytokinesis [GO:0032467]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482]; positive regulation of dopamine uptake involved in synaptic transmission [GO:0051586]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glial cell-derived neurotrophic factor production [GO:1900168]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; positive regulation of growth hormone secretion [GO:0060124]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of receptor internalization [GO:0002092]; positive regulation of renal sodium excretion [GO:0035815]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of urine volume [GO:0035810]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; prepulse inhibition [GO:0060134]; protein localization [GO:0008104]; regulation of dopamine secretion [GO:0014059]; regulation of dopamine uptake involved in synaptic transmission [GO:0051584]; regulation of heart rate [GO:0002027]; regulation of locomotion involved in locomotory behavior [GO:0090325]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of potassium ion transport [GO:0043266]; regulation of sodium ion transport [GO:0002028]; regulation of synapse structural plasticity [GO:0051823]; regulation of synaptic transmission, GABAergic [GO:0032228]; regulation of synaptic vesicle exocytosis [GO:2000300]; release of sequestered calcium ion into cytosol [GO:0051209]; response to amphetamine [GO:0001975]; response to axon injury [GO:0048678]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; response to histamine [GO:0034776]; response to hypoxia [GO:0001666]; response to inactivity [GO:0014854]; response to iron ion [GO:0010039]; response to light stimulus [GO:0009416]; response to morphine [GO:0043278]; response to nicotine [GO:0035094]; response to toxic substance [GO:0009636]; sensory perception of smell [GO:0007608]; striatum development [GO:0021756]; synapse assembly [GO:0007416]; temperature homeostasis [GO:0001659]; visual learning [GO:0008542]; Wnt signaling pathway [GO:0016055]	ENSG00000149295	P14416
ADORA2B	adenosine A2b receptor 	0.8945338764044943	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	G protein-coupled adenosine receptor activity [GO:0001609]	activation of adenylate cyclase activity [GO:0007190]; activation of MAPK activity [GO:0000187]; cellular defense response [GO:0006968]; cellular protein metabolic process [GO:0044267]; excretion [GO:0007588]; G protein-coupled receptor signaling pathway [GO:0007186]; JNK cascade [GO:0007254]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]	ENSG00000170425	P29275
FLT3	fms related receptor tyrosine kinase 3 	0.8927042518037085	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	Membrane; Single-pass type I membrane protein. Endoplasmic reticulum lumen. Note=Constitutively activated mutant forms with internal tandem duplications are less efficiently transported to the cell surface and a significant proportion is retained in an immature form in the endoplasmic reticulum lumen. The activated kinase is rapidly targeted for degradation.	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endosome membrane [GO:0010008]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; cytokine receptor activity [GO:0004896]; glucocorticoid receptor binding [GO:0035259]; growth factor binding [GO:0019838]; protein-containing complex binding [GO:0044877]; protein self-association [GO:0043621]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor-activated receptor activity [GO:0005021]	animal organ regeneration [GO:0031100]; B cell differentiation [GO:0030183]; cellular response to cytokine stimulus [GO:0071345]; cellular response to glucocorticoid stimulus [GO:0071385]; common myeloid progenitor cell proliferation [GO:0035726]; cytokine-mediated signaling pathway [GO:0019221]; dendritic cell differentiation [GO:0097028]; hemopoiesis [GO:0030097]; leukocyte homeostasis [GO:0001776]; lymphocyte proliferation [GO:0046651]; MAPK cascade [GO:0000165]; multicellular organism development [GO:0007275]; myeloid progenitor cell differentiation [GO:0002318]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; pro-B cell differentiation [GO:0002328]; protein autophosphorylation [GO:0046777]; regulation of apoptotic process [GO:0042981]; response to organonitrogen compound [GO:0010243]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; viral process [GO:0016032]	ENSG00000122025	P36888
AVPR1B	arginine vasopressin receptor 1B 	0.8822449831460675	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	Cell membrane {ECO:0000269|PubMed:33713620}; Multi-pass membrane protein {ECO:0000255}.	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; protein kinase C binding [GO:0005080]; vasopressin receptor activity [GO:0005000]	activation of phospholipase C activity [GO:0007202]; G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of arachidonic acid secretion [GO:0090238]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of inositol phosphate biosynthetic process [GO:0060732]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phospholipase A2 activity [GO:0032430]; positive regulation of vasoconstriction [GO:0045907]; regulation of cell population proliferation [GO:0042127]; regulation of systemic arterial blood pressure by vasopressin [GO:0001992]; transport across blood-brain barrier [GO:0150104]	ENSG00000198049	P47901
CD79A	CD79a molecule 	0.8811405641470786	NA	Cell membrane; Single-pass type I membrane protein. Note=Following antigen binding, the BCR has been shown to translocate from detergent-soluble regions of the cell membrane to lipid rafts although signal transduction through the complex can also occur outside lipid rafts. {ECO:0000250}.	B cell receptor complex [GO:0019815]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; multivesicular body [GO:0005771]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; transmembrane signaling receptor activity [GO:0004888]	adaptive immune response [GO:0002250]; B cell activation [GO:0042113]; B cell differentiation [GO:0030183]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]	ENSG00000105369	P11912
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 	0.8791925853221285	NA	Membrane {ECO:0000269|PubMed:10037799}; Single-pass type I membrane protein {ECO:0000269|PubMed:10037799}. Note=Localized to the plasma membrane and in vesicles near extranuclear membranes which may represent trans-Golgi network (TGN) and endosomes/prelysosomeal compartments. Undergoes ligand-dependent internalization and recycling at the cell surface.	extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	hyaluronic acid binding [GO:0005540]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	anatomical structure morphogenesis [GO:0009653]; cell-matrix adhesion [GO:0007160]; hyaluronan catabolic process [GO:0030214]; response to wounding [GO:0009611]	ENSG00000133800	Q9Y5Y7
NGFR	nerve growth factor receptor 	0.8640935483146067	NA	Cell membrane {ECO:0000269|PubMed:3022937}; Single-pass type I membrane protein {ECO:0000305}. Perikaryon {ECO:0000250|UniProtKB:Q9Z0W1}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q9Z0W1}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q9Z0W1}.	cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endosome [GO:0005768]; extracellular region [GO:0005576]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]	amyloid-beta binding [GO:0001540]; calmodulin binding [GO:0005516]; coreceptor activity [GO:0015026]; death receptor activity [GO:0005035]; nerve growth factor binding [GO:0048406]; neurotrophin binding [GO:0043121]; signaling receptor activity [GO:0038023]; small GTPase binding [GO:0031267]; transmembrane signaling receptor activity [GO:0004888]; ubiquitin protein ligase binding [GO:0031625]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; axon guidance [GO:0007411]; cellular glucose homeostasis [GO:0001678]; cellular response to amyloid-beta [GO:1904646]; central nervous system development [GO:0007417]; circadian regulation of gene expression [GO:0032922]; detection of temperature stimulus [GO:0016048]; dorsal aorta development [GO:0035907]; glucose homeostasis [GO:0042593]; hair follicle morphogenesis [GO:0031069]; intracellular protein transport [GO:0006886]; membrane protein intracellular domain proteolysis [GO:0031293]; negative regulation of apoptotic process [GO:0043066]; negative regulation of axonogenesis [GO:0050771]; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903588]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of hair follicle development [GO:0051799]; nerve development [GO:0021675]; neuron apoptotic process [GO:0051402]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of axonogenesis [GO:0050772]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of odontogenesis of dentin-containing tooth [GO:0042488]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of protein localization to nucleus [GO:1900182]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; Rho protein signal transduction [GO:0007266]	ENSG00000064300	P08138
