hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
CCL23	C-C motif chemokine ligand 23	Yes		0.018379	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR1 chemokine receptor binding [GO:0031726]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; heparin binding [GO:0008201]	cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; negative regulation of C-C chemokine binding [GO:2001264]; negative regulation of cell population proliferation [GO:0008285]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	ENSG00000274736	P55773	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL23&keywords=CCL23		
CCL24	C-C motif chemokine ligand 24	Yes		0.005467	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted {ECO:0000269|PubMed:9104803, ECO:0000269|PubMed:9365122}.	extracellular space [GO:0005615]	CCR3 chemokine receptor binding [GO:0031728]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; receptor ligand activity [GO:0048018]	cell-cell signaling [GO:0007267]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of eosinophil migration [GO:2000418]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of inflammatory response [GO:0050729]; regulation of cell shape [GO:0008360]; signal transduction [GO:0007165]	ENSG00000106178	O00175	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL24&keywords=CCL24		
CCL25	C-C motif chemokine ligand 25	Yes		0.013151	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR10 chemokine receptor binding [GO:0031735]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; chemokine receptor binding [GO:0042379]; hormone activity [GO:0005179]	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell chemotaxis [GO:0060326]; cell surface receptor signaling pathway [GO:0007166]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; killing of cells of other organism [GO:0031640]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; negative regulation of leukocyte tethering or rolling [GO:1903237]; neutrophil chemotaxis [GO:0030593]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]	ENSG00000131142	O15444	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL25&keywords=CCL25		
CCL26	C-C motif chemokine ligand 26	Yes		0.010853	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted {ECO:0000269|PubMed:10488147}.	extracellular space [GO:0005615]	CCR3 chemokine receptor binding [GO:0031728]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; receptor ligand activity [GO:0048018]	cell-cell signaling [GO:0007267]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell migration [GO:0030335]; positive regulation of chemotaxis [GO:0050921]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]; T cell chemotaxis [GO:0010818]	ENSG00000006606	Q9Y258	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL26&keywords=CCL26		
CCL27	C-C motif chemokine ligand 27	Yes		0.600601	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted {ECO:0000250|UniProtKB:Q9Z1X0}.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR3 chemokine receptor binding [GO:0031728]; chemokine activity [GO:0008009]	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell-cell signaling [GO:0007267]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; killing of cells of other organism [GO:0031640]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of T cell chemotaxis [GO:0010820]	ENSG00000213927	Q9Y4X3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL27&keywords=CCL27		
CCL28	C-C motif chemokine ligand 28	Yes		18.572691	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	chemokine activity [GO:0008009]	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; cytolysis in other organism [GO:0051715]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; killing of cells of other organism [GO:0031640]; negative regulation of leukocyte tethering or rolling [GO:1903237]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; response to nutrient [GO:0007584]	ENSG00000151882	Q9NRJ3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL28&keywords=CCL28		
CCL3	C-C motif chemokine ligand 3	Yes		0.249884	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	calcium-dependent protein kinase C activity [GO:0004698]; CCR1 chemokine receptor binding [GO:0031726]; CCR5 chemokine receptor binding [GO:0031730]; CCR chemokine receptor binding [GO:0048020]; chemoattractant activity [GO:0042056]; chemokine activity [GO:0008009]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; phospholipase activator activity [GO:0016004]; protein kinase activity [GO:0004672]	astrocyte cell migration [GO:0043615]; calcium ion transport [GO:0006816]; calcium-mediated signaling [GO:0019722]; cell activation [GO:0001775]; cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to organic cyclic compound [GO:0071407]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytokine-mediated signaling pathway [GO:0019221]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; eosinophil degranulation [GO:0043308]; exocytosis [GO:0006887]; G protein-coupled receptor signaling pathway [GO:0007186]; granulocyte chemotaxis [GO:0071621]; inflammatory response [GO:0006954]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; lymphocyte chemotaxis [GO:0048247]; macrophage chemotaxis [GO:0048246]; MAPK cascade [GO:0000165]; monocyte chemotaxis [GO:0002548]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of bone mineralization [GO:0030502]; negative regulation of gene expression [GO:0010629]; negative regulation of osteoclast differentiation [GO:0045671]; neutrophil chemotaxis [GO:0030593]; osteoblast differentiation [GO:0001649]; positive regulation of calcium ion import [GO:0090280]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of cell migration [GO:0030335]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of GTPase activity [GO:0043547]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of microglial cell migration [GO:1904141]; positive regulation of natural killer cell chemotaxis [GO:2000503]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of tumor necrosis factor production [GO:0032760]; protein kinase B signaling [GO:0043491]; regulation of behavior [GO:0050795]; regulation of cell shape [GO:0008360]; regulation of sensory perception of pain [GO:0051930]; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0014808]; response to cholesterol [GO:0070723]; response to toxic substance [GO:0009636]; signaling [GO:0023052]; T cell chemotaxis [GO:0010818]	ENSG00000277632	P10147	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3&keywords=CCL3		
CCL3L1	C-C motif chemokine ligand 3 like 1	Yes		0.178073	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]	cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; cytokine-mediated signaling pathway [GO:0019221]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; negative regulation of cell population proliferation [GO:0008285]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]	ENSG00000276085	P16619	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L1&keywords=CCL3L1		
CCL3L3	C-C motif chemokine ligand 3 like 1	Yes		0.178073	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]	cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; cytokine-mediated signaling pathway [GO:0019221]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; negative regulation of cell population proliferation [GO:0008285]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]	ENSG00000276085	P16619	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3L3&keywords=CCL3L3		
CCL4	C-C motif chemokine ligand 4	Yes		3.016835	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR1 chemokine receptor binding [GO:0031726]; CCR5 chemokine receptor binding [GO:0031730]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; cytokine activity [GO:0005125]; identical protein binding [GO:0042802]	cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; cytokine-mediated signaling pathway [GO:0019221]; eosinophil chemotaxis [GO:0048245]; establishment or maintenance of cell polarity [GO:0007163]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; negative regulation by host of viral transcription [GO:0043922]; neutrophil chemotaxis [GO:0030593]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of calcium-mediated signaling [GO:0050850]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of natural killer cell chemotaxis [GO:2000503]; response to toxic substance [GO:0009636]; response to virus [GO:0009615]; signal transduction [GO:0007165]	ENSG00000275302	P13236	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4&keywords=CCL4		
CCL4L2	C-C motif chemokine ligand 4 like 2	Yes		0.307137	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted {ECO:0000250}.	extracellular space [GO:0005615]	CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]	cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]	ENSG00000276070	Q8NHW4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4L2&keywords=CCL4L2		
CCL5	C-C motif chemokine ligand 5	Yes		1.152613	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR1 chemokine receptor binding [GO:0031726]; CCR4 chemokine receptor binding [GO:0031729]; CCR5 chemokine receptor binding [GO:0031730]; CCR chemokine receptor binding [GO:0048020]; chemoattractant activity [GO:0042056]; chemokine activity [GO:0008009]; chemokine receptor antagonist activity [GO:0046817]; chemokine receptor binding [GO:0042379]; identical protein binding [GO:0042802]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase activator activity [GO:0016004]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein self-association [GO:0043621]; receptor signaling protein tyrosine kinase activator activity [GO:0030298]	activation of phospholipase D activity [GO:0031584]; calcium ion transport [GO:0006816]; cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to organic cyclic compound [GO:0071407]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytokine-mediated signaling pathway [GO:0019221]; dendritic cell chemotaxis [GO:0002407]; eosinophil chemotaxis [GO:0048245]; exocytosis [GO:0006887]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; leukocyte cell-cell adhesion [GO:0007159]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; lymphocyte chemotaxis [GO:0048247]; macrophage chemotaxis [GO:0048246]; MAPK cascade [GO:0000165]; monocyte chemotaxis [GO:0002548]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of T cell apoptotic process [GO:0070233]; negative regulation of viral genome replication [GO:0045071]; neutrophil activation [GO:0042119]; neutrophil chemotaxis [GO:0030593]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell-cell adhesion mediated by integrin [GO:0033634]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular biosynthetic process [GO:0031328]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of innate immune response [GO:0045089]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of natural killer cell chemotaxis [GO:2000503]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phosphorylation [GO:0042327]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of T cell migration [GO:2000406]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of translational initiation [GO:0045948]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of viral genome replication [GO:0045070]; protein kinase B signaling [GO:0043491]; regulation of chronic inflammatory response [GO:0002676]; regulation of insulin secretion [GO:0050796]; regulation of neuron death [GO:1901214]; regulation of T cell activation [GO:0050863]; response to toxic substance [GO:0009636]; response to virus [GO:0009615]	ENSG00000271503	P13501	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5&keywords=CCL5		
CCL7	C-C motif chemokine ligand 7	Yes		4.464610	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]	CCR1 chemokine receptor binding [GO:0031726]; CCR2 chemokine receptor binding [GO:0031727]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; heparin binding [GO:0008201]	cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular response to ethanol [GO:0071361]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of cell migration [GO:0030335]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of natural killer cell chemotaxis [GO:2000503]; regulation of cell shape [GO:0008360]; response to gamma radiation [GO:0010332]; signal transduction [GO:0007165]	ENSG00000108688	P80098	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL7&keywords=CCL7		
CCL8	C-C motif chemokine ligand 8	Yes		0.984424	Intercrine beta (chemokine CC) family	Secreted to blood	Secreted.	extracellular space [GO:0005615]	CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; heparin binding [GO:0008201]; phospholipase activator activity [GO:0016004]; protein kinase activity [GO:0004672]	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; calcium ion transport [GO:0006816]; cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; eosinophil chemotaxis [GO:0048245]; exocytosis [GO:0006887]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; killing of cells of other organism [GO:0031640]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of leukocyte proliferation [GO:0070664]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of leukocyte migration [GO:0002687]; response to virus [GO:0009615]; signal transduction [GO:0007165]	ENSG00000108700	P80075	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL8&keywords=CCL8		
CCN1	cellular communication network factor 1	Yes		55.080405	CCN family	Locally secreted to extracellular matrix	Secreted.	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]	extracellular matrix binding [GO:0050840]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]	apoptotic process involved in heart morphogenesis [GO:0003278]; atrial septum morphogenesis [GO:0060413]; atrioventricular valve morphogenesis [GO:0003181]; cell adhesion [GO:0007155]; cellular protein metabolic process [GO:0044267]; chemotaxis [GO:0006935]; chondroblast differentiation [GO:0060591]; chorio-allantoic fusion [GO:0060710]; extracellular matrix organization [GO:0030198]; intussusceptive angiogenesis [GO:0002041]; labyrinthine layer blood vessel development [GO:0060716]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell death [GO:0060548]; osteoblast differentiation [GO:0001649]; positive regulation of apoptotic process [GO:0043065]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cartilage development [GO:0061036]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of osteoblast proliferation [GO:0033690]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-translational protein modification [GO:0043687]; reactive oxygen species metabolic process [GO:0072593]; regulation of ERK1 and ERK2 cascade [GO:0070372]; signal transduction [GO:0007165]; ventricular septum development [GO:0003281]; wound healing, spreading of cells [GO:0044319]	ENSG00000142871	O00622	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN1&keywords=CCN1		
CCN2	cellular communication network factor 2	Yes		52.490354	CCN family	Locally secreted	Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P29268}. Secreted {ECO:0000250|UniProtKB:P29268}.	cell cortex [GO:0005938]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	fibronectin binding [GO:0001968]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]; protein C-terminus binding [GO:0008022]	aging [GO:0007568]; angiogenesis [GO:0001525]; cartilage condensation [GO:0001502]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; chondrocyte proliferation [GO:0035988]; cytosolic calcium ion transport [GO:0060401]; DNA biosynthetic process [GO:0071897]; epidermis development [GO:0008544]; extracellular matrix constituent secretion [GO:0070278]; fibroblast growth factor receptor signaling pathway [GO:0008543]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; negative regulation of cell death [GO:0060548]; negative regulation of gene expression [GO:0010629]; ossification [GO:0001503]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of cell activation [GO:0050867]; positive regulation of cell death [GO:0010942]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G0 to G1 transition [GO:0070318]; positive regulation of gene expression [GO:0010628]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; reactive oxygen species metabolic process [GO:0072593]; regulation of chondrocyte differentiation [GO:0032330]; response to amino acid [GO:0043200]; response to anoxia [GO:0034059]; response to estradiol [GO:0032355]; response to fatty acid [GO:0070542]; response to glucose [GO:0009749]; response to mineralocorticoid [GO:0051385]; response to peptide hormone [GO:0043434]; response to wounding [GO:0009611]; signal transduction [GO:0007165]; tissue homeostasis [GO:0001894]; transcription initiation from RNA polymerase II promoter [GO:0006367]	ENSG00000118523	P29279	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2&keywords=CCN2		
CCN3	cellular communication network factor 3	Yes		3.356024	CCN family	Secreted to blood	Secreted. Cytoplasm {ECO:0000269|PubMed:15181016}. Cell junction, gap junction {ECO:0000269|PubMed:15181016}. Note=Localizes at the gap junction in presence of GJA1. {ECO:0000250|UniProtKB:Q9QZQ5}.	axon [GO:0030424]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; gap junction [GO:0005921]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]	growth factor activity [GO:0008083]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]; Notch binding [GO:0005112]	angiogenesis [GO:0001525]; bone regeneration [GO:1990523]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell chemotaxis [GO:0060326]; chondrocyte differentiation [GO:0002062]; endothelial cell-cell adhesion [GO:0071603]; endothelial cell chemotaxis [GO:0035767]; fibroblast migration [GO:0010761]; hematopoietic stem cell homeostasis [GO:0061484]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of chondrocyte proliferation [GO:1902731]; negative regulation of inflammatory response [GO:0050728]; negative regulation of insulin secretion [GO:0046676]; negative regulation of monocyte chemotaxis [GO:0090027]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of sensory perception of pain [GO:1904057]; negative regulation of SMAD protein signal transduction [GO:0060392]; positive regulation of Notch signaling pathway [GO:0045747]; regulation of gene expression [GO:0010468]; signal transduction [GO:0007165]; smooth muscle cell migration [GO:0014909]; smooth muscle cell proliferation [GO:0048659]; type B pancreatic cell proliferation [GO:0044342]	ENSG00000136999	P48745	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN3&keywords=CCN3		
