uniprot_gn_id	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
P46091	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P460911	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q8IZ08	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 1..35;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 473..494;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8TDV0	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 378..419;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 330..419;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q16538	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 445..474;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 511..550;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O15218	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
O15354	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 80..138;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 152..172;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O60883	DOMAIN: The N-terminal region is required for constitutive signal transduction. {ECO:0000269|PubMed:27072655}.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 32..57;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 26..58;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 70..108;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O43194	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 415..442;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 255..274;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 415..453;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9Y653	NA	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. LN-TM7 subfamily. {ECO:0000305}.	G-protein coupled receptor 2 family, LN-TM7 subfamily	NA	NA	DOMAIN 343..394;  /note=GPS;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00098	NA	REGION 26..33;  /note=Heparin-binding;  /evidence=ECO:0000269|PubMed:27068534; REGION 190..200;  /note=Heparin-binding;  /evidence=ECO:0000269|PubMed:27068534; REGION 670..693;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O95800	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 1..27;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q14957	DOMAIN: A hydrophobic region that gives rise to the prediction of a transmembrane span does not cross the membrane, but is part of a discontinuously helical region that dips into the membrane and is probably part of the pore and of the selectivity filter. {ECO:0000250|UniProtKB:Q00960}.	SIMILARITY: Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2C/GRIN2C subfamily. {ECO:0000305}.	Glutamate-gated ion channel (TC 1.A.10.1) family, NR2C/GRIN2C subfamily	NA	COMPBIAS 929..960;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 1231..1233;  /note=PDZ-binding	REGION 509..511;  /note=Glutamate binding;  /evidence=ECO:0000250|UniProtKB:Q00959; REGION 601..620;  /note=Pore-forming;  /evidence=ECO:0000250|UniProtKB:Q00960; REGION 687..688;  /note=Glutamate binding;  /evidence=ECO:0000250|UniProtKB:Q00959; REGION 920..995;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O15399	DOMAIN: A hydrophobic region that gives rise to the prediction of a transmembrane span does not cross the membrane, but is part of a discontinuously helical region that dips into the membrane and is probably part of the pore and of the selectivity filter. {ECO:0000250|UniProtKB:Q00960}.	SIMILARITY: Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. NR2D/GRIN2D subfamily. {ECO:0000305}.	Glutamate-gated ion channel (TC 1.A.10.1) family, NR2D/GRIN2D subfamily	NA	COMPBIAS 902..932;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1021..1038;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1093..1108;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1225..1256;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 1334..1336;  /note=PDZ-binding;  /evidence=ECO:0000250	REGION 539..541;  /note=Glutamate binding;  /evidence=ECO:0000250|UniProtKB:Q00959; REGION 631..650;  /note=Pore-forming;  /evidence=ECO:0000250|UniProtKB:Q00960; REGION 717..718;  /note=Glutamate binding;  /evidence=ECO:0000250|UniProtKB:Q00959; REGION 900..934;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 981..1123;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1225..1336;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q13255	NA	SIMILARITY: Belongs to the G-protein coupled receptor 3 family. {ECO:0000305}.	G-protein coupled receptor 3 family	NA	COMPBIAS 1008..1022;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1152..1173;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 186..188;  /note=Glutamate binding;  /evidence=ECO:0000305; REGION 883..905;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1007..1030;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1113..1173;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P41594	NA	SIMILARITY: Belongs to the G-protein coupled receptor 3 family. {ECO:0000305}.	G-protein coupled receptor 3 family	NA	COMPBIAS 937..952;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1170..1189;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 173..175;  /note=Glutamate binding; REGION 805..809;  /note=Allosteric effector binding; REGION 937..971;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1010..1056;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1132..1191;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P30550	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P25092	DOMAIN: The protein kinase domain is predicted to be catalytically inactive.	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	NA	DOMAIN 489..749;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159; DOMAIN 824..954;  /note=Guanylate cyclase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099	NA	NA	NA	NA
Q02846	NA	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	COMPBIAS 1085..1103;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 525..808;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159; DOMAIN 880..1010;  /note=Guanylate cyclase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099	NA	REGION 1065..1103;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P15421	NA	SIMILARITY: Belongs to the glycophorin-A family. {ECO:0000305}.	Glycophorin-A family	NA	NA	NA	NA	NA	NA	NA
O43613	DOMAIN: The N-terminal region is required for orexin signaling. {ECO:0000269|PubMed:26950369}.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 1..24;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 26..41;  /note=Required for response to orexin-A;  /evidence=ECO:0000269|PubMed:26950369	NA	NA
O43614	DOMAIN: The N-terminal region is required for orexin signaling. {ECO:0000269|PubMed:26950369}.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 1..20;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 33..49;  /note=Required for response to orexin-A;  /evidence=ECO:0000269|PubMed:26950369	NA	NA
Q30201	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 207..298;  /note=Ig-like C1-type	NA	REGION 23..114;  /note=Alpha-1; REGION 115..205;  /note=Alpha-2; REGION 206..297;  /note=Alpha-3; REGION 298..306;  /note=Connecting peptide	NA	NA
Q6ZVN8	NA	SIMILARITY: Belongs to the repulsive guidance molecule (RGM) family. {ECO:0000305}.	Repulsive guidance molecule (RGM) family	NA	NA	NA	NA	REGION 119..142;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96QV1	DOMAIN: A flexible loop interacts with the SHH zinc binding site and contributes to zinc binding.	SIMILARITY: Belongs to the HHIP family. {ECO:0000305}.	HHIP family	NA	NA	DOMAIN 607..634;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 635..667;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 376..388;  /note=Interaction with SHH zinc binding site	NA	NA
P30511	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
P305111	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
P305112	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
P305113	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
P305114	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
P305115	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
P305116	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000305}.	MHC class I family	NA	NA	DOMAIN 206..296;  /note=Ig-like C1-type;  /evidence=ECO:0000255	MOTIF 336..338;  /note=Sorting signal sequence; Golgi-retention signal; ER-retention signal;  /evidence=ECO:0000269|PubMed:16709803	REGION 22..111;  /note=Alpha-1; REGION 112..203;  /note=Alpha-2; REGION 204..295;  /note=Alpha-3; REGION 296..305;  /note=Connecting peptide	NA	NA
O75330	NA	NA	NA	NA	NA	NA	NA	REGION 1..22;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 40..81;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 635..645;  /note=Hyaluronic acid-binding;  /evidence=ECO:0000255; REGION 657..666;  /note=Hyaluronic acid-binding;  /evidence=ECO:0000255	NA	NA
Q9H3N8	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P28223	DOMAIN: The PDZ domain-binding motif is involved in the interaction with PATJ, CASK, APBA1, DLG1 and DLG4. {ECO:0000269|PubMed:11150294, ECO:0000269|PubMed:14988405}.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	MOTIF 172..174;  /note=DRY motif; important for ligand-induced conformation changes;  /evidence=ECO:0000250|UniProtKB:P41595; MOTIF 376..380;  /note=NPxxY motif; important for ligand-induced conformation changes and signaling;  /evidence=ECO:0000250|UniProtKB:P41595; MOTIF 469..471;  /note=PDZ-binding;  /evidence=ECO:0000269|PubMed:11150294, ECO:0000269|PubMed:14988405	REGION 155..160;  /note=Agonist binding;  /evidence=ECO:0000250|UniProtKB:P41595; REGION 336..340;  /note=Agonist binding;  /evidence=ECO:0000250|UniProtKB:P41595; REGION 450..471;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P28335	DOMAIN: The PDZ domain-binding motif is involved in the interaction with MPDZ. {ECO:0000269|PubMed:11150294}.	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	MOTIF 151..153;  /note=DRY motif; important for ligand-induced conformation changes;  /evidence=ECO:0000250; MOTIF 364..368;  /note=NPxxY motif; important for ligand-induced conformation changes and signaling;  /evidence=ECO:0000250; MOTIF 456..458;  /note=PDZ-binding	REGION 134..139;  /note=Agonist binding;  /evidence=ECO:0000250; REGION 274..301;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 324..328;  /note=Agonist binding;  /evidence=ECO:0000250	NA	NA
P50406	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 348..363;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 346..392;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P13164	NA	SIMILARITY: Belongs to the CD225/Dispanin family. {ECO:0000305}.	CD225/Dispanin family	NA	NA	NA	NA	REGION 84..125;  /note=Interaction with CAV1;  /evidence=ECO:0000269|PubMed:19499152	NA	NA
P17181	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 540..557;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 32..126;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 127..227;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 231..329;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 331..432;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 491..500;  /note=Important for interaction with TYK2;  /evidence=ECO:0000269|PubMed:24704786; REGION 516..557;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P48551	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 466..497;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 318..418;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 418..444;  /note=Mediates interaction with STAT2 (and required for the recruitment of USP18);  /evidence=ECO:0000269|PubMed:28165510; REGION 455..515;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P15260	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 373..401;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 414..433;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 329..437;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P38484	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	NA	DOMAIN 31..129;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 142..240;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 276..277;  /note=Dileucine internalization motif;  /evidence=ECO:0000269|PubMed:15356148	NA	NA	NA
P384841	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	NA	DOMAIN 31..129;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 142..240;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 276..277;  /note=Dileucine internalization motif;  /evidence=ECO:0000269|PubMed:15356148	NA	NA	NA
Q8IU57	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 324..338;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 379..400;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 505..520;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 26..126;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 302..439;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 477..520;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P08069	NA	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	NA	NA	DOMAIN 491..609;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 610..708;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 735..828;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 834..927;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 999..1274;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	MOTIF 977..980;  /note=IRS1- and SHC1-binding	REGION 1288..1367;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P11717	DOMAIN: Contains 15 repeating units of approximately 147 AA harboring four disulfide bonds each. The most highly conserved region within the repeat consists of a stretch of 13 AA that contains cysteines at both ends.	SIMILARITY: Belongs to the MRL1/IGF2R family. {ECO:0000305}.	MRL1/IGF2R family	NA	COMPBIAS 2442..2464;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 47..163;  /note=MRH 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 172..320;  /note=MRH 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 326..468;  /note=MRH 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 473..619;  /note=MRH 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 625..762;  /note=MRH 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 765..924;  /note=MRH 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 932..1079;  /note=MRH 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 1082..1219;  /note=MRH 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 1225..1363;  /note=MRH 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 1367..1508;  /note=MRH 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 1514..1648;  /note=MRH 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 1650..1797;  /note=MRH 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 1802..1989;  /note=Fibronectin type-II;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1992..2127;  /note=MRH 14;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262; DOMAIN 2135..2280;  /note=MRH 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01262	NA	REGION 2424..2491;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9H665	NA	NA	NA	NA	COMPBIAS 129..147;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 120..147;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q13651	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 316..331;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 357..415;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 318..323;  /note=BTRC recognition motif;  /evidence=ECO:0000269|PubMed:22087322	REGION 313..436;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q08334	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	NA	DOMAIN 23..111;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 114..216;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 301..325;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q14626	NA	SIMILARITY: Belongs to the type I cytokine receptor family. Type 3 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 3 subfamily	NA	NA	DOMAIN 27..110;  /note=Ig-like C2-type; DOMAIN 112..219;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 220..317;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 304..308;  /note=WSXWS motif	REGION 335..355;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 398..422;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P42701	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 46..136;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 142..234;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 237..337;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 338..444;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 448..542;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 222..226;  /note=WSXWS motif; MOTIF 577..585;  /note=Box 1 motif	REGION 626..648;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
