uniprot_gn_id	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
P51685	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..35;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 64..73;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 94..107;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 130..146;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 172..202;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 223..238;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 264..280;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 305..355;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 36..63;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 74..93;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 108..129;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 147..171;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 203..222;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 239..263;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 281..304;  /note=Helical; Name=7;  /evidence=ECO:0000255
P51686	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:27926729}; Multi-pass membrane protein {ECO:0000305|PubMed:27926729}.	NA	TOPO_DOM 1..48;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 75..85;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 110..120;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 151..159;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 186..208;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 244..248;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 284..290;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:27926729; TOPO_DOM 322..369;  /note=Cytoplasmic;  /evidence=ECO:0000255, ECO:0000269|PubMed:27926729	TRANSMEM 49..74;  /note=Helical; Name=1;  /evidence=ECO:0000269|PubMed:27926729; TRANSMEM 86..109;  /note=Helical; Name=2;  /evidence=ECO:0000269|PubMed:27926729; TRANSMEM 121..150;  /note=Helical; Name=3;  /evidence=ECO:0000269|PubMed:27926729; TRANSMEM 160..185;  /note=Helical; Name=4;  /evidence=ECO:0000269|PubMed:27926729; TRANSMEM 209..243;  /note=Helical; Name=5;  /evidence=ECO:0000269|PubMed:27926729; TRANSMEM 249..283;  /note=Helical; Name=6;  /evidence=ECO:0000269|PubMed:27926729; TRANSMEM 291..321;  /note=Helical; Name=7;  /evidence=ECO:0000269|PubMed:27926729
O00421	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18397265, ECO:0000269|PubMed:20002784}; Multi-pass membrane protein {ECO:0000269|PubMed:18397265, ECO:0000269|PubMed:20002784}.	NA	TOPO_DOM 1..43;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 65..74;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 96..104;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 126..144;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 166..198;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 220..238;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 260..286;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 308..344;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 44..64;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 75..95;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 105..125;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 145..165;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 199..219;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 239..259;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 287..307;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q6YHK3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11861284, ECO:0000269|PubMed:16754747}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:11861284, ECO:0000269|PubMed:16754747}.	NA	NA	NA
P48509	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..18;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 40..57;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 79..91;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 113..221;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 243..253;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 19..39;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 58..78;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 92..112;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 222..242;  /note=Helical;  /evidence=ECO:0000255
Q8N6Q3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12239154, ECO:0000269|PubMed:12675722, ECO:0000269|PubMed:17244676, ECO:0000269|PubMed:17580308, ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:21193407, ECO:0000269|PubMed:24926686, ECO:0000269|PubMed:27227454, ECO:0000269|PubMed:28240246, ECO:0000269|PubMed:28807980}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12239154, ECO:0000269|PubMed:17244676}. Membrane raft {ECO:0000269|PubMed:21193407}; Lipid-anchor, GPI-like-anchor {ECO:0000269|PubMed:12239154, ECO:0000269|PubMed:17244676}. Secreted {ECO:0000269|PubMed:12239154, ECO:0000269|PubMed:18462208}. Cytoplasmic granule membrane {ECO:0000269|PubMed:18462208}. Cell projection, lamellipodium {ECO:0000269|PubMed:28807980}. Note=Cell surface expression on neutrophils is increased upon TNF-alpha, fMLP or CXCL8/IL8-mediated stimulation (PubMed:17244676, PubMed:17580308). In neutrophils, stored predominantly in secondary and tertiary granules (PubMed:18462208). Can also be shedded from the cell membrane (PubMed:12239154, PubMed:18462208). Localizes to lamellar protrusions in spreading neutrophils (PubMed:28807980). {ECO:0000269|PubMed:12239154, ECO:0000269|PubMed:17244676, ECO:0000269|PubMed:17580308, ECO:0000269|PubMed:18462208, ECO:0000269|PubMed:28807980}.	NA	NA	NA
Q99467	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 24..626;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 651..661;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 627..650;  /note=Helical;  /evidence=ECO:0000255
P15391	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1373518, ECO:0000269|PubMed:1383329, ECO:0000269|PubMed:16672701, ECO:0000269|PubMed:1702139, ECO:0000269|PubMed:2463100, ECO:0000269|PubMed:9317126, ECO:0000269|PubMed:9382888}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000250|UniProtKB:P25918}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P25918}.	NA	TOPO_DOM 20..291;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 314..556;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 292..313;  /note=Helical;  /evidence=ECO:0000255
P06126	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11231314, ECO:0000269|PubMed:11600221, ECO:0000269|PubMed:18178838}; Single-pass type I membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:18178838}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:11231314}; Single-pass type I membrane protein {ECO:0000255}. Note=Subject to intracellular trafficking between the cell membrane and endosomes (PubMed:11231314). Localizes to cell surface lipid rafts (PubMed:18178838). {ECO:0000269|PubMed:11231314, ECO:0000269|PubMed:18178838}.	NA	TOPO_DOM 17..300;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 322..327;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 301..321;  /note=Helical;  /evidence=ECO:0000255
P29016	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Note=Subject to intracellular trafficking between the cell membrane, endosomes and lysosomes. {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}.	NA	TOPO_DOM 18..303;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 325..333;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 304..324;  /note=Helical;  /evidence=ECO:0000255
P20963	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P24161}; Single-pass type I membrane protein.	NA	TOPO_DOM 22..30;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 52..164;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 31..51;  /note=Helical;  /evidence=ECO:0000255
P26842	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 20..191;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 213..260;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 192..212;  /note=Helical;  /evidence=ECO:0000255
P10747	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell surface {ECO:0000269|PubMed:15067037}.	NA	TOPO_DOM 19..152;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 180..220;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 153..179;  /note=Helical;  /evidence=ECO:0000255
P16671	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16880211}; Multi-pass membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:16880211}. Golgi apparatus {ECO:0000269|PubMed:16880211}. Apical cell membrane {ECO:0000250|UniProtKB:Q08857}. Note=Upon ligand-binding, internalized through dynamin-dependent endocytosis. {ECO:0000269|PubMed:20037584}.	NA	TOPO_DOM 2..7;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 30..439;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 462..472;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 8..29;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 440..461;  /note=Helical;  /evidence=ECO:0000255
P04234	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 22..105;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 127..171;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 106..126;  /note=Helical;  /evidence=ECO:0000255
P09693	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8636209}; Single-pass type I membrane protein.	NA	TOPO_DOM 23..116;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 138..182;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 117..137;  /note=Helical;  /evidence=ECO:0000255
P01730	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12089508, ECO:0000269|PubMed:12517957, ECO:0000269|PubMed:2823150, ECO:0000269|PubMed:2990730}; Single-pass type I membrane protein {ECO:0000269|PubMed:12517957, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:1708753}. Note=Localizes to lipid rafts (PubMed:12517957, PubMed:9168119). Removed from plasma membrane by HIV-1 Nef protein that increases clathrin-dependent endocytosis of this antigen to target it to lysosomal degradation. Cell surface expression is also down-modulated by HIV-1 Envelope polyprotein gp160 that interacts with, and sequesters CD4 in the endoplasmic reticulum.	NA	TOPO_DOM 26..396;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 419..458;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 397..418;  /note=Helical;  /evidence=ECO:0000255
P25942	SUBCELLULAR LOCATION: [Isoform I]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform II]: Secreted.	NA	TOPO_DOM 21..193;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 216..277;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 194..215;  /note=Helical;  /evidence=ECO:0000255
P16070	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726066, ECO:0000269|PubMed:23589287}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, microvillus {ECO:0000250|UniProtKB:P15379}. Note=Colocalizes with actin in membrane protrusions at wounding edges. Co-localizes with RDX, EZR and MSN in microvilli. Localizes to cholesterol-rich membrane-bound lipid raft domains. {ECO:0000250|UniProtKB:P15379, ECO:0000269|PubMed:23589287}.	NA	TOPO_DOM 21..649;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 671..742;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 650..670;  /note=Helical;  /evidence=ECO:0000255
P15529	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}; Single-pass type I membrane protein {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}. Note=Inner acrosomal membrane of spermatozoa. Internalized upon binding of Measles virus, Herpesvirus 6 or Neisseria gonorrhoeae, which results in an increased susceptibility of infected cells to complement-mediated injury. In cancer cells or cells infected by Neisseria, shedding leads to a soluble peptide.	NA	TOPO_DOM 35..343;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 367..392;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 344..366;  /note=Helical;  /evidence=ECO:0000255
Q08722	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:7691831}; Multi-pass membrane protein {ECO:0000269|PubMed:7691831}.	NA	TOPO_DOM 19..141;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 163..176;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 198..207;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 229..235;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 257..268;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 290..323;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 142..162;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 177..197;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 208..228;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 236..256;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 269..289;  /note=Helical;  /evidence=ECO:0000255
P09326	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1999351}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:1999351}.	NA	NA	NA
P06127	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 25..372;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 403..495;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 373..402;  /note=Helical;  /evidence=ECO:0000255
P19397	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}. Cell junction {ECO:0000250}. Membrane; Multi-pass membrane protein. Note=Concentrates in localized microdomains along the plasma membrane at the contact sites between cells of fused myotubes. {ECO:0000250}.	NA	TOPO_DOM 1..11;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 33..54;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 70..80;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 107..181;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 207..219;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 12..32;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 55..69;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 81..106;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 182..206;  /note=Helical;  /evidence=ECO:0000255
P08962	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15351990, ECO:0000269|PubMed:19640571, ECO:0000269|PubMed:23632027}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:19640571, ECO:0000269|PubMed:1993697, ECO:0000269|PubMed:22431521, ECO:0000269|PubMed:23632027}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:10793155, ECO:0000269|PubMed:23632027}; Multi-pass membrane protein {ECO:0000255}. Endosome, multivesicular body {ECO:0000269|PubMed:21962903}. Melanosome {ECO:0000269|PubMed:21962903}. Secreted, extracellular exosome {ECO:0000269|PubMed:22660413}. Cell surface {ECO:0000269|PubMed:16917503, ECO:0000269|PubMed:23632027, ECO:0000269|PubMed:24635319}. Note=Also found in Weibel-Palade bodies of endothelial cells (PubMed:10793155). Located in platelet dense granules (PubMed:7682577). Detected in a subset of pre-melanosomes. Detected on intralumenal vesicles (ILVs) within multivesicular bodies (PubMed:21962903). {ECO:0000269|PubMed:10793155, ECO:0000269|PubMed:21962903, ECO:0000269|PubMed:7682577}.	NA	TOPO_DOM 2..11;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 33..51;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 73..81;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 103..203;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 225..238;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 12..32;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 52..72;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 82..102;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 204..224;  /note=Helical;  /evidence=ECO:0000255
P21854	SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein.	NA	TOPO_DOM 1..95;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 117..359;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 96..116;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P04233	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}. Endoplasmic reticulum membrane. Golgi apparatus, trans-Golgi network. Endosome. Lysosome. Note=Transits through a number of intracellular compartments in the endocytic pathway. It can either undergo proteolysis or reach the cell membrane.; SUBCELLULAR LOCATION: [Isoform p41]: Late endosome {ECO:0000250|UniProtKB:P04441}. Lysosome {ECO:0000250|UniProtKB:P04441}.	NA	TOPO_DOM 1..46;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 73..296;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 47..72;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P11912	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Note=Following antigen binding, the BCR has been shown to translocate from detergent-soluble regions of the cell membrane to lipid rafts although signal transduction through the complex can also occur outside lipid rafts. {ECO:0000250}.	NA	TOPO_DOM 33..143;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 166..226;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 144..165;  /note=Helical;  /evidence=ECO:0000255
P60033	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1383329, ECO:0000269|PubMed:1695320, ECO:0000269|PubMed:20237408, ECO:0000269|PubMed:22307619, ECO:0000269|PubMed:2398277, ECO:0000269|PubMed:26354436}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}. Note=Associates with CLDN1 and the CLDN1-CD81 complex localizes to the basolateral cell membrane. {ECO:0000269|PubMed:20375010}.	NA	TOPO_DOM 1..12;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:27881302, ECO:0000305|PubMed:1860863; TOPO_DOM 34..63;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:27881302; TOPO_DOM 85..89;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:27881302; TOPO_DOM 113..201;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:27881302; TOPO_DOM 225..236;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:27881302, ECO:0000305|PubMed:1860863	TRANSMEM 13..33;  /note=Helical;  /evidence=ECO:0000269|PubMed:27881302; TRANSMEM 64..84;  /note=Helical;  /evidence=ECO:0000269|PubMed:27881302; TRANSMEM 90..112;  /note=Helical;  /evidence=ECO:0000269|PubMed:27881302; TRANSMEM 202..224;  /note=Helical;  /evidence=ECO:0000269|PubMed:27881302
P27701	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30463011}; Multi-pass membrane protein {ECO:0000255}.	NA	TOPO_DOM 1..11;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 33..53;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 73..83;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 111..228;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 251..267;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 12..32;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 54..72;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 84..110;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 229..250;  /note=Helical;  /evidence=ECO:0000255
P21926	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19640571}; Multi-pass membrane protein {ECO:0000269|PubMed:19640571}. Membrane {ECO:0000269|PubMed:19640571}; Multi-pass membrane protein {ECO:0000269|PubMed:19640571}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:P40240}. Note=Present at the cell surface of oocytes. Accumulates in the adhesion area between the sperm and egg following interaction between IZUMO1 and its receptor IZUMO1R/JUNO. {ECO:0000250|UniProtKB:P40240}.	NA	TOPO_DOM 2..12;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 34..55;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 77..87;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 112..195;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 222..228;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 13..33;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 56..76;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 88..111;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 196..221;  /note=Helical;  /evidence=ECO:0000255
Q9NPY3	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 24..580;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 602..652;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 581..601;  /note=Helical;  /evidence=ECO:0000255
P48960	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9Z0M6}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Adhesion G protein-coupled receptor E5 subunit alpha]: Secreted, extracellular space {ECO:0000305}.	NA	TOPO_DOM 21..552;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 573..581;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 602..620;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 643..653;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 675..691;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 713..739;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 761..766;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 790..835;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 553..572;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 582..601;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 621..642;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 654..674;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 692..712;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 740..760;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 767..789;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q9Y6N8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 55..613;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 635..788;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 614..634;  /note=Helical;  /evidence=ECO:0000255
Q9H159	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 44..596;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 618..772;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 597..617;  /note=Helical;  /evidence=ECO:0000255
P19022	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P15116}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P15116}. Cell junction {ECO:0000269|PubMed:28169360}. Cell surface {ECO:0000250|UniProtKB:P15116}. Note=Colocalizes with TMEM65 at the intercalated disk in cardiomyocytes. Colocalizes with OBSCN at the intercalated disk and at sarcolemma in cardiomyocytes. {ECO:0000250|UniProtKB:P15116}.	NA	TOPO_DOM 160..724;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 746..906;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 725..745;  /note=Helical;  /evidence=ECO:0000255
P33151	SUBCELLULAR LOCATION: Cell junction {ECO:0000269|PubMed:20332120, ECO:0000269|PubMed:21183689}. Cell membrane {ECO:0000269|PubMed:15980433, ECO:0000305|PubMed:20332120}; Single-pass type I membrane protein {ECO:0000305|PubMed:20332120}. Note=Found at cell-cell boundaries and probably at cell-matrix boundaries. KRIT1 and CDH5 reciprocally regulate their localization to endothelial cell-cell junctions. {ECO:0000269|PubMed:20332120}.	NA	TOPO_DOM 48..599;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 621..784;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 600..620;  /note=Helical;  /evidence=ECO:0000255
P55285	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 54..615;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 637..790;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 616..636;  /note=Helical;  /evidence=ECO:0000255
