UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
P16035	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9Y6A2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9WVK8}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9WVK8}. Microsome membrane {ECO:0000250|UniProtKB:Q9WVK8}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9WVK8}. Cell junction, synapse, postsynapse {ECO:0000250|UniProtKB:Q9WVK8}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:Q9WVK8}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9WVK8}.	NA	NA	TRANSMEM 3..23;  /note=Helical;  /evidence=ECO:0000255
P55082	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 19..147;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 171..362;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 148..170;  /note=Helical;  /evidence=ECO:0000255
P20933	SUBCELLULAR LOCATION: Lysosome.	NA	NA	NA
O43897	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P13611	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2583089}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:29777959}. Secreted, extracellular space, extracellular matrix, interphotoreceptor matrix {ECO:0000269|PubMed:29777959}.	NA	NA	NA
P13671	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P24821	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P40121	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:18266911}. Cytoplasm {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:P24452}. Cell projection, ruffle {ECO:0000250|UniProtKB:P24452}. Note=In macrophages, may be predominantly cytoplasmic. Nuclear localization was observed in fibroblasts. In macrophages, present at the membrane-cytoplasm interface. In activated macrophages, concentrated in the ruffles of the leading lamellipodia. {ECO:0000250|UniProtKB:P24452}.	NA	NA	NA
O75445	SUBCELLULAR LOCATION: Cell projection, stereocilium membrane {ECO:0000269|PubMed:14676276}; Single-pass type I membrane protein {ECO:0000269|PubMed:14676276}. Note=Component of the interstereocilia ankle links in the inner ear sensory cells. In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment that surrounds the connecting cilia called periciliary membrane complex. {ECO:0000250|UniProtKB:Q2QI47}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 32..5042;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 5064..5202;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 5043..5063;  /note=Helical;  /evidence=ECO:0000255
Q9BS86	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome membrane {ECO:0000250|UniProtKB:Q62522}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q62522}. Secreted {ECO:0000305}. Note=First localized in acrosome granule, later migrates to the inner and outer acrosomal membrane. Released after the acrosomal reaction. {ECO:0000250|UniProtKB:Q62522}.	NA	NA	NA
P01266	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11082042, ECO:0000269|PubMed:19509106, ECO:0000269|PubMed:8626858}. Note=Secreted into the thyroid follicle lumen (PubMed:19509106). Localizes to colloid globules, a structure formed in the thyroid follicle lumen consisting of cross-linked TG arranged in concentric layers (PubMed:8626858, PubMed:11082042). {ECO:0000269|PubMed:11082042, ECO:0000269|PubMed:19509106, ECO:0000269|PubMed:8626858}.	NA	NA	NA
Q9UKQ2	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 199..665;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 687..775;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 666..686;  /note=Helical;  /evidence=ECO:0000255
Q16661	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P29320	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:11870224}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:21135139}.	NA	TOPO_DOM 21..541;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 566..983;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 542..565;  /note=Helical;  /evidence=ECO:0000255
P11021	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:21080038, ECO:0000269|PubMed:21289099, ECO:0000269|PubMed:23990668, ECO:0000269|PubMed:29497057}. Melanosome {ECO:0000269|PubMed:12643545}. Cytoplasm {ECO:0000250|UniProtKB:P20029}. Cell surface {ECO:0000269|PubMed:15098107, ECO:0000269|PubMed:28053106, ECO:0000269|PubMed:33432092}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:12643545}.	NA	NA	NA
P00450	SUBCELLULAR LOCATION: Secreted. Note=Colocalizes with GCP1 in secretory intracellular compartments. {ECO:0000250}.	NA	NA	NA
O43182	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10699171}.	NA	NA	NA
Q96T23	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11788598, ECO:0000269|PubMed:11944984, ECO:0000269|PubMed:12972596}.	NA	NA	NA
Q14055	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
P21583	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:26522471}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:26522471}; Single-pass type I membrane protein {ECO:0000250}. Cell projection, lamellipodium {ECO:0000269|PubMed:26522471}. Cell projection, filopodium {ECO:0000269|PubMed:26522471}.; SUBCELLULAR LOCATION: [Soluble KIT ligand]: Secreted.	NA	TOPO_DOM 26..214;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 238..273;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 215..237;  /note=Helical;  /evidence=ECO:0000255
Q9UKP5	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
O95479	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000305|PubMed:18628520}.	NA	NA	NA
O95399	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q14766	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16157329}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:16157329, ECO:0000269|PubMed:8617200}.	NA	NA	NA
Q15293	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.	NA	NA	NA
P15502	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17035250}. Note=Extracellular matrix of elastic fibers. {ECO:0000269|PubMed:17035250}.	NA	NA	NA
P07686	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:9694901}. Cytoplasmic vesicle, secretory vesicle, Cortical granule {ECO:0000250|UniProtKB:P20060}.	NA	NA	NA
Q9UBP4	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9Y4A8	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978}.	NA	NA	NA
Q9Y6N6	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.	NA	NA	NA
Q16651	SUBCELLULAR LOCATION: [Prostasin]: Cell membrane; Single-pass membrane protein.; SUBCELLULAR LOCATION: [Prostasin light chain]: Secreted, extracellular space. Note=Found in the seminal fluid. Secreted after cleavage of its C-terminus.; SUBCELLULAR LOCATION: [Prostasin heavy chain]: Secreted, extracellular space. Note=Found in the seminal fluid. Secreted after cleavage of its C-terminus.	NA	NA	TRANSMEM 320..340;  /note=Helical;  /evidence=ECO:0000255
Q6MZW2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q5JXM2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q16787	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.	NA	NA	NA
Q9NTU7	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q8BME9}. Cell junction, synapse {ECO:0000250|UniProtKB:Q8BME9}. Note=Detected at GABAergic synapses. {ECO:0000250|UniProtKB:Q8BME9}.	NA	NA	NA
Q6WN34	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000305}.	NA	NA	NA
P54803	SUBCELLULAR LOCATION: Lysosome.	NA	NA	NA
Q96PX6	SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:25009281}.	NA	NA	NA
Q14624	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P19827	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9Y5X5	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..147;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 169..184;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 206..221;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 243..262;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 284..319;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 341..377;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 399..413;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 435..522;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 148..168;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 185..205;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 222..242;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 263..283;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 320..340;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 378..398;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 414..434;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q9NRM6	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 18..292;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 314..502;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 293..313;  /note=Helical;  /evidence=ECO:0000255
Q9H1Y0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17709747}. Preautophagosomal structure membrane; Peripheral membrane protein. Note=Colocalizes with nonmuscle actin. The conjugate detaches from the membrane immediately before or after autophagosome formation is completed (By similarity). Localizes also to discrete punctae along the ciliary axoneme and to the base of the ciliary axoneme. {ECO:0000250}.	NA	NA	NA
Q13753	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.	NA	NA	NA
P12107	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	NA	NA	NA
Q9H1J5	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.	NA	NA	NA
P54793	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O75493	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P35052	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side. Endosome. Note=S-nitrosylated form recycled in endosomes. Localizes to CAV1-containing vesicles close to the cell surface. Cleavage of heparan sulfate side chains takes place mainly in late endosomes. Associates with both forms of PRNP in lipid rafts. Colocalizes with APP in perinuclear compartments and with CP in intracellular compartments. Associates with fibrillar APP amyloid-beta peptides in lipid rafts in Alzheimer disease brains.; SUBCELLULAR LOCATION: [Secreted glypican-1]: Secreted, extracellular space.	NA	NA	NA
Q86TW2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O76076	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P10619	SUBCELLULAR LOCATION: Lysosome.	NA	NA	NA
Q9UHI6	SUBCELLULAR LOCATION: Cytoplasm. Nucleus, gem. Note=Localized in subnuclear structures next to coiled bodies, called Gemini of Cajal bodies (Gems).	NA	NA	NA
Q15782	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O95631	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28945198}. Cytoplasm {ECO:0000269|PubMed:28945198}. Note=Mainly secreted. {ECO:0000269|PubMed:28945198}.	NA	NA	NA
P21860	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 20..643;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 665..1342;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 644..664;  /note=Helical;  /evidence=ECO:0000255
Q15046	SUBCELLULAR LOCATION: [Isoform Cytoplasmic]: Cytoplasm, cytosol {ECO:0000269|PubMed:10952987, ECO:0000269|PubMed:19289464, ECO:0000269|PubMed:23159739, ECO:0000269|PubMed:28887846}. Cytoplasm {ECO:0000269|PubMed:15220430}. Nucleus {ECO:0000269|PubMed:15220430, ECO:0000269|PubMed:23159739}. Cell membrane {ECO:0000269|PubMed:15220430}; Peripheral membrane protein {ECO:0000269|PubMed:15220430}. Secreted {ECO:0000269|PubMed:15851690}. Note=Secretion is induced by TNF-alpha (PubMed:15851690). Cytosolic in quiescent mast cells. Translocates into the nucleus in response to mast cell activation by immunoglobulin E (PubMed:23159739). {ECO:0000269|PubMed:15851690, ECO:0000269|PubMed:23159739}.; SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion {ECO:0000269|PubMed:10952987}.	NA	NA	NA
Q14554	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.	NA	NA	NA
Q9UMD9	SUBCELLULAR LOCATION: Cell junction, hemidesmosome. Membrane; Single-pass type II membrane protein. Note=Localized along the plasma membrane of the hemidesmosome.; SUBCELLULAR LOCATION: [120 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Exclusively localized to anchoring filaments. Localized to the epidermal side of split skin.; SUBCELLULAR LOCATION: [97 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Localized in the lamina lucida beneath the hemidesmosomes.	NA	TOPO_DOM 1..467;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 489..1497;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 468..488;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P13995	SUBCELLULAR LOCATION: Mitochondrion.	NA	NA	NA
P67809	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12604611, ECO:0000269|PubMed:14718551, ECO:0000269|PubMed:15806160}. Nucleus {ECO:0000269|PubMed:12604611, ECO:0000269|PubMed:14718551, ECO:0000269|PubMed:15806160}. Cytoplasmic granule {ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:18335541, ECO:0000269|PubMed:19029303, ECO:0000269|PubMed:25229427}. Secreted {ECO:0000269|PubMed:19483673}. Secreted, extracellular exosome {ECO:0000269|PubMed:27559612, ECO:0000269|PubMed:28341602}. Note=Predominantly cytoplasmic in proliferating cells (PubMed:12604611). Cytotoxic stress and DNA damage enhance translocation to the nucleus (PubMed:14718551). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:25229427). Shuttles between nucleus and cytoplasm (PubMed:25229427). Localized with DDX1, MBNL1 and TIAL1 in stress granules upon stress (PubMed:18335541). Secreted by mesangial and monocytic cells after inflammatory challenges (PubMed:19483673). {ECO:0000269|PubMed:12604611, ECO:0000269|PubMed:14718551, ECO:0000269|PubMed:18335541, ECO:0000269|PubMed:19483673, ECO:0000269|PubMed:25229427}.	NA	NA	NA
P35590	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15851516, ECO:0000269|PubMed:20227369}; Single-pass type I membrane protein {ECO:0000269|PubMed:15851516, ECO:0000269|PubMed:20227369}.	NA	TOPO_DOM 22..759;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 785..1138;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 760..784;  /note=Helical;  /evidence=ECO:0000255
Q8N5V2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Note=Associated with membranes. Localizes to axonal growth cones (By similarity). {ECO:0000250}.	NA	NA	NA
Q7Z478	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03068}.	NA	NA	NA
Q14562	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770}.	NA	NA	NA
Q13057	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24360804}. Mitochondrion matrix {ECO:0000269|PubMed:24360804}. Note=The protein is mainly present in the mitochondrial matrix, probably anchored to the inner mitochondrial membrane, but is also present in cell lysate. {ECO:0000269|PubMed:24360804}.	NA	NA	NA
Q14642	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8626616, ECO:0000305|PubMed:8006039}; Lipid-anchor {ECO:0000269|PubMed:8626616, ECO:0000305}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q7TNC9}.	NA	NA	NA
Q96DZ1	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:16531414, ECO:0000269|PubMed:18502753}.	NA	NA	NA
Q9H2U9	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 19..668;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 690..754;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 669..689;  /note=Helical;  /evidence=ECO:0000255
P22466	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1370155, ECO:0000269|PubMed:1722333}.	NA	NA	NA
Q03167	SUBCELLULAR LOCATION: Secreted. Secreted, extracellular space. Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Exists both as a membrane-bound form and as soluble form in serum and in the extracellular matrix.	NA	TOPO_DOM 21..787;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 810..851;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 788..809;  /note=Helical;  /evidence=ECO:0000255
O15496	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:9188469}. Lysosome {ECO:0000250|UniProtKB:Q9QXX3}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q9QXX3}.	NA	NA	NA
Q9BXW7	NA	NA	NA	NA
P09683	SUBCELLULAR LOCATION: Secreted {ECO:0000269|Ref.2}.	NA	NA	NA
O15520	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9HCT0	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O95633	SUBCELLULAR LOCATION: [Isoform 1]: Secreted.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus. Note=Although alternative initiation has been demonstrated and resulted in different localization, the major source of nuclear FSTL3 appears not to depend on translation initiation at Met-27 according to. {ECO:0000269|PubMed:16150905}.	NA	NA	NA
Q9UJ37	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..7;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 29..374;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 8..28;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P29322	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O09127}; Single-pass type I membrane protein {ECO:0000255}. Cell projection {ECO:0000250|UniProtKB:O09127}. Early endosome membrane {ECO:0000250|UniProtKB:O09127}. Note=Undergoes clathrin-mediated endocytosis upon EFNA5-binding and is targeted to early endosomes. {ECO:0000250|UniProtKB:O09127}.	NA	TOPO_DOM 28..542;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 564..1005;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 543..563;  /note=Helical;  /evidence=ECO:0000255
Q9UM21	SUBCELLULAR LOCATION: [Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A]: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]: Secreted {ECO:0000250}.	NA	TOPO_DOM 1..4;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 28..535;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 5..27;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q7L8A9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15467828, ECO:0000269|PubMed:27879017}. Secreted {ECO:0000269|PubMed:15467828, ECO:0000269|PubMed:16707096, ECO:0000269|PubMed:20736312, ECO:0000269|PubMed:27879017}. Note=Mainly localizes in the cytoplasm (PubMed:27879017). Some fraction is secreted via a non-canonical secretion system; interaction with SVBP promotes secretion (PubMed:27879017). {ECO:0000269|PubMed:27879017}.	NA	NA	NA
Q9UBV2	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16186509}; Single-pass type I membrane protein {ECO:0000269|PubMed:16186509}.	NA	TOPO_DOM 22..738;  /note=Lumenal;  /evidence=ECO:0000255; TOPO_DOM 760..794;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 739..759;  /note=Helical;  /evidence=ECO:0000255
P81277	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P98173	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8TC12	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12036956}; Single-pass type II membrane protein {ECO:0000269|PubMed:12036956}.	NA	TOPO_DOM 22..318;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:12036956, ECO:0000269|PubMed:12226107	TRANSMEM 1..21;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000269|PubMed:12036956, ECO:0000269|PubMed:12226107
Q13103	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q8TBB1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	NA	NA	NA
P02786	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17081065}; Single-pass type II membrane protein {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.; SUBCELLULAR LOCATION: [Transferrin receptor protein 1, serum form]: Secreted {ECO:0000269|PubMed:17081065}.	NA	TOPO_DOM 1..67;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 89..760;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 68..88;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
O15460	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen.	NA	NA	NA
P15151	SUBCELLULAR LOCATION: [Isoform Alpha]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform Delta]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform Beta]: Secreted.; SUBCELLULAR LOCATION: [Isoform Gamma]: Secreted.	NA	TOPO_DOM 21..343;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 368..417;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 344..367;  /note=Helical;  /evidence=ECO:0000255
Q8TAV3	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:20805301}. Cell membrane {ECO:0000269|PubMed:20805301}. Microsome membrane {ECO:0000269|PubMed:20805301}. Note=About 8% are expressed on the cell surface. {ECO:0000269|PubMed:20805301}.	NA	NA	NA
Q9BVL4	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:24751718}.	NA	NA	NA
Q9BPW9	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:11294878, ECO:0000269|PubMed:11304534, ECO:0000269|PubMed:12618084}. Endoplasmic reticulum membrane {ECO:0000305}. Note=Associated with microsomal membranes.	NA	NA	NA
O43866	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:24223991, ECO:0000269|PubMed:24804991}. Cytoplasm {ECO:0000250|UniProtKB:Q9QWK4}. Note=Secreted by macrophages and circulates in the blood (PubMed:24223991, PubMed:24804991). Transported in the cytoplasm via CD36-mediated endocytosis (By similarity). {ECO:0000250|UniProtKB:Q9QWK4, ECO:0000269|PubMed:24223991, ECO:0000269|PubMed:24804991}.	NA	NA	NA
P15907	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:20378551}; Single-pass type II membrane protein {ECO:0000305}. Secreted. Note=Membrane-bound form in trans cisternae of Golgi. Secreted into the body fluid.	NA	TOPO_DOM 1..9;  /note=Cytoplasmic; TOPO_DOM 27..406;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 10..26;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q9HB63	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:11038171}. Note=Major component.	NA	NA	NA
Q14162	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 20..421;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 443..830;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 422..442;  /note=Helical;  /evidence=ECO:0000255
